pilot_id	prefecture	facility	mhlw_plan_codes	treatment_classes	source_generations	products_found	makers_found	maker_evidence_type	docs_checked	resolved	evidence_json
PILOT001	三重県	社会医療法人峰和会 鈴鹿回生病院	03D2506007	PRP	v40_queue			NONE	0	NO	[]
PILOT003	佐賀県	佐賀県医療センター好生館	01G2403007	PRP	v40_queue			NONE	1	NO	[]
PILOT004	兵庫県	あまのペインクリニック	01E2110005	PRP	v40_queue			NONE	0	NO	[]
PILOT005	北海道	札幌ひざのセルクリニック	01A2312001|01A2312002|01A2312003	PRP|脂肪由来幹細胞	v41			NONE	3	NO	[]
PILOT006	千葉県	しろやまいたみのクリニック	01C2502010	PRP	v41			NONE	0	NO	[]
PILOT008	埼玉県	まくり整形外科クリニック	03C2305021	PRP	v40_queue			NONE	3	NO	[]
PILOT009	大分県	仙波整形外科	01G2101005	PRP	v40_queue			NONE	1	NO	[]
PILOT010	大阪府	CELL GRAND CLINIC	01E2412017|01E2502004|01E2602015	PRP|脂肪由来幹細胞	v41			NONE	3	NO	[]
PILOT011	奈良県	医療法人ポイントワン ならやまと整形外科スポーツクリニック	01E2303002	PRP	v41			NONE	1	NO	[]
PILOT012	宮崎県	くもん整形外科 スポーツ・骨関節クリニック	01G2404003	PRP	v41			NONE	1	NO	[]
PILOT013	山口県	医療法人社団 宇部興産中央病院	01F2206003|03F2208001	PRP	v40_queue			NONE	1	NO	[]
PILOT014	山梨県	東甲府医院	01C2411014	PRP	v40_queue			NONE	0	NO	[]
PILOT015	岐阜県	公立学校共済組合 東海中央病院	03D2509003	PRP	v40_queue			NONE	0	NO	[]
PILOT016	岡山県	社会医療法人光生病院	03F2511005	PRP	v40_queue			NONE	0	NO	[]
PILOT017	岩手県	いわてスポーツ・整形外科クリニック	01B2403004	PRP	v41			NONE	0	NO	[]
PILOT018	島根県	医療法人いざみ KAZUKIプライベートクリニック松江本院	01F2508001	PRP	v40_queue			NONE	0	NO	[]
PILOT019	広島県	医療法人社団 日本鋼管福山病院	03F2506005	PRP	v40_queue			NONE	0	NO	[]
PILOT020	愛媛県	医療法人 鎌野病院	03F2606001|03F2606002	PRP	v40_queue			NONE	0	NO	[]
PILOT021	愛知県	HIME CLINIC	01D2603004	PRP	v41			NONE	0	NO	[]
PILOT022	新潟県	医療法人社団ibis こばり坂クリニック	01C2411010|01C2411011	PRP	v40_queue			NONE	0	NO	[]
PILOT023	東京都	NAG整形外科	01C2304054|01C2305018|01C2305019	PRP|脂肪由来幹細胞	v41			NONE	0	NO	[]
PILOT024	栃木県	医療法人一燈会 かみもとスポーツクリニック	01C2302004	PRP	v40_queue			NONE	0	NO	[]
PILOT025	沖縄県	医療法人形成会 当山美容形成外科	02G2001025	PRP	v41			NONE	0	NO	[]
PILOT026	滋賀県	一般社団法人スピナレピオス  淡海せぼねクリニック	01E2408020|01E2408021	PRP	v41			NONE	0	NO	[]
PILOT027	熊本県	保田窪整形外科病院	01G2506014	PRP	v40_queue			NONE	0	NO	[]
PILOT028	石川県	医療法人EKOC 東金沢整形外科クリニック	01D2407008|01D2407009	PRP	v40_queue			NONE	0	NO	[]
