record_type	prefecture	facility_or_company	service_label	processing_company	status	evidence_url	note	first_seen_jst
FACILITY	東京都	表参道総合医療クリニック	PFC-FD / PRP-FD	セルソース株式会社	OFFERING_CONFIRMED	https://www.omotesando-amc.jp/pfcfd/	Official page states PFC-FD is a CellSource trademark and blood is sent to an external cell-processing center for freeze-dry processing.	2026-09-19
FACILITY	神奈川県	医療法人社団梅沢医院 梅沢整形外科	PRP-FD	セルソース株式会社	OFFERING_CONFIRMED	https://umezawa-clinic.com/	Official site states PRP-FD treatment uses CellSource system.	2026-09-19
FACILITY	東京都	シン・整形外科 代々木上原	PRP-FD		OFFERING_CONFIRMED_PROCESSOR_UNRESOLVED	https://shin-yoyogiuehara.com/treatment/regenerative/	Current official page lists PRP-FD treatment; processing contractor not identified in reviewed primary evidence.	2026-09-19
FACILITY	大阪府	大阪梅田セルクリニック	PRP-FD		OFFERING_CONFIRMED_PROCESSOR_UNRESOLVED	https://www.osaka-knee.com/regenerative-medicine/prp	Official page describes freeze-dried PRP-FD; processing contractor not identified in reviewed primary evidence.	2026-09-19
FACILITY	神奈川県	医療法人野球医学 ベースボール＆スポーツクリニック	PFC-FD	セルソース株式会社	OFFERING_CONFIRMED_BRAND_MAP	https://baseball-sports.clinic/	Existing official-site audit found PFC-FD fees; PFC-FD brand is CellSource.	2026-09-19
FACILITY	東京都	葛西駅前あおぞら整形外科クリニック	PFC-FD	セルソース株式会社	OFFERING_CONFIRMED_BRAND_MAP	https://aozora-seikei.com/regenerative-medicine/	Official page lists PFC-FD; PFC-FD brand is CellSource.	2026-09-19
SUPPLIER		プライムロード株式会社	L-cepfer（PRP-FD）	プライムロード株式会社	PROCESSING_SERVICE_CONFIRMED	https://primeroad.co.jp/service_bk/lcepfer/	Company describes L-cepfer as a PRP concentrate freeze-dry processing service and states no regenerative-medicine provision-plan filing is required because it is rendered cell-free.	2026-09-19
SUPPLIER		セルソース株式会社	PFC-FD™	セルソース株式会社	PROCESSING_SERVICE_CONFIRMED	https://www.cellsource.co.jp/	CellSource states PFC-FD is its trademark and describes blood/cell processing outsourcing services; use as validated PFC-FD brand-to-processor mapping.	2026-09-19
SUPPLIER		株式会社Waqoo	PDF-FD / PDF-FD5	株式会社Waqoo	PROCESSING_SERVICE_CONFIRMED	https://waqoo.jp/medical-support.html	Waqoo officially describes contract blood-derived processing; facility evidence also identifies PDF-FD/PDF-FD5 as Waqoo processing services.	2026-09-19
FACILITY	群馬県	慶友整形外科クリニック	PFC-FD	セルソース株式会社	OFFERING_CONFIRMED_PROCESSOR_EXPLICIT	https://www.ku-kai.or.jp/html/kt_10_37.html	Current Keiyu official page explicitly states blood is shipped to CellSource for PFC-FD processing.	2026-09-19
FACILITY	群馬県	慶友整形外科クリニック	PDF-FD	株式会社Waqoo	OFFERING_CONFIRMED_PROCESSOR_EXPLICIT	https://www.ku-kai.or.jp/html/kt_10_37.html	Current Keiyu official page explicitly states blood is shipped to Waqoo for PDF-FD processing.	2026-09-19
FACILITY	埼玉県	医療法人社団スマイル&ファイン いしがみ整形外科クリニック	PDF-FD（PRP-FD）	株式会社Waqoo / セルプロジャパン株式会社	OFFERING_CONFIRMED_SUPPLIER_MANUFACTURER_EXPLICIT	https://ishigami-seikei-cl.com/knees/	Official page states PDF-FD/PRP-FD; sales company Waqoo and manufacturer CellPro Japan.	2026-09-19
FACILITY	東京都	あいべ整形外科	PDF-FD（PRP-FD）	株式会社Waqoo / セルプロジャパン株式会社	OFFERING_CONFIRMED_SUPPLIER_MANUFACTURER_EXPLICIT	https://aibe-seikei.com/treatment/prp-fd/	Official page states PDF-FD is a PRP-FD type; sales company Waqoo and manufacturer CellPro Japan.	2026-09-19
FACILITY	神奈川県	医療法人社団耀風会 仲野整形外科スポーツ・ウェルネスクリニック	PFC-FD2.0	セルソース株式会社	OFFERING_CONFIRMED_PROCESSOR_EXPLICIT	https://nakano-seikei.jp/prptreatment/prpprice.html	Official fee page explicitly labels PFC-FD2.0 (CellSource).	2026-09-19
FACILITY	神奈川県	医療法人社団耀風会 仲野整形外科スポーツ・ウェルネスクリニック	PDF-FD3.0	株式会社Waqoo	OFFERING_CONFIRMED_SUPPLIER_EXPLICIT	https://nakano-seikei.jp/prptreatment/prpprice.html	Official fee page explicitly labels PDF-FD3.0 (WaQoo).	2026-09-19
FACILITY	群馬県	間庭整形外科	PFC-FD	セルソース株式会社	OFFERING_CONFIRMED_BRAND_MAP	https://maniwa-seikei.com/prp-fd%E6%B2%BB%E7%99%82	Official page offers PFC-FD; processor assigned through validated CellSource PFC-FD trademark mapping.	2026-09-19
FACILITY		井上整形外科	PDF-FD		OFFERING_CONFIRMED_PROCESSOR_UNRESOLVED	https://www.seiwakai.gr.jp/newest/pfc/	Official page states blood is sent to an external manufacturing contractor for PDF-FD processing; contractor name not identified on reviewed page.	2026-09-19
FACILITY	千葉県	医療法人社団淳英会 Jメディカルおゆみの	VFD	セルソース株式会社	OFFERING_CONFIRMED_PROCESSOR_EXPLICIT	https://www.j-medical-oyumino.jp/biotherapy.html	Current official page states VFD processing is outsourced to CellSource; excluded from manufacturer-share canonical.	2026-09-19
FACILITY	千葉県	長浜クリニック	PFC-FD / PRP-FD	セルソース株式会社	OFFERING_CONFIRMED_PROCESSOR_EXPLICIT	https://www.nagahama-clinic.com/prp	Current official PRP page states blood is transported to CellSource and PRP-FD is manufactured; excluded from manufacturer-share canonical.	2026-09-19
FACILITY	大阪府	ひらまつ整形外科 難波膝スポーツクリニック	PFC-FD™ 2.0	セルソース株式会社	OFFERING_CONFIRMED_PROCESSOR_EXPLICIT	https://www.h-nksc.jp/private_medical/p_03.html	Current official page states blood is sent to CellSource for PFC-FD processing; excluded from manufacturer-share canonical.	2026-09-19
FACILITY	大阪府	ソラリス整形外科 大阪 福島リハビリテーションクリニック	PFC-FD™	セルソース株式会社	OFFERING_CONFIRMED_BRAND_MAP	https://solaris-clinic.com/pfc_fd.html	Current official page offers PFC-FD and explicitly states the PFC-FD name was created by CellSource; watchlist only.	2026-09-19
FACILITY	東京都	一般社団法人MAY 武蔵野アトラスターズ整形外科スポーツクリニック	PFC-FD	セルソース株式会社	OFFERING_CONFIRMED_BRAND_MAP	https://musashinoasc.com/PFC-FD	Current official page offers PFC-FD; mapped to CellSource processing-service brand. Excluded from manufacturer-share canonical.	2026-09-19
