facility_id	prefecture	facility	address	plan_count
F0003	京都府	京都整形外科 肩スポーツクリニック	京都市南区西九条蔵王町13-5 TMSビル1F・2F	1
F0031	北海道	医療法人社団GOZEN ごうだ整形外科	岩見沢市大和三条九丁目16番	1
F0032	北海道	医療法人社団GOZEN 北7条ごうだ整形外科	札幌市中央区北七条西二十四丁目1番24号	1
F0033	北海道	医療法人hokule'a fクリニックさっぽろ	札幌市南区中ノ沢1丁目12番20号	2
F0034	北海道	NTT東日本札幌病院	札幌市中央区南1条西15丁目	2
F0035	北海道	Revo. Clinic	札幌市中央区南4条西2丁目8-9 リディアビル7階	1
F0036	北海道	医療法人社団くわのみ会 桑園整形外科	札幌市中央区北8条西16丁目28-30	1
F0037	北海道	医療法人そえるて 奥山整形外科	旭川市緑が丘東3条1丁目12番33号	2
F0038	北海道	医療法人社団みつわ整形外科クリニック	札幌市豊平区平岸3条6丁目6番30号	2
F0039	北海道	医療法人スポキチ スポキチクリニック	札幌市北区新琴似1条12丁目6-3	2
F0040	北海道	医療法人リアルエイジ静哉会 Dクリニック札幌	札幌市中央区北4条西2-1-2 キタコートレードビル7F	1
F0041	北海道	医療法人社団三慈会 釧路三慈会病院	釧路市幣舞町4-30	2
F0042	北海道	医療法人 五輪橋整形外科病院	札幌市南区川沿2条1丁目2番56号	1
F0043	北海道	医療法人社団再星会 ひざのセルクリニック札幌院	札幌市中央区南1条西16丁目1番245 レーベンビル4F	2
F0044	北海道	小樽市立病院	小樽市若松1丁目1番1号	2
F0045	北海道	医療法人社団悠仁会 羊ヶ丘病院	札幌市厚別区青葉町三丁目1番10号	2
F0046	北海道	医療法人悠康会 函館整形外科クリニック	函館市石川町2-115	2
F0047	北海道	整形外科進藤病院	旭川市4条通19丁目右6号	1
F0048	北海道	医療法人 新札幌整形外科病院	札幌市厚別区厚別中央1条6丁目2-8	1
F0049	北海道	医療法人社団松陽会 だい整形外科クリニック	札幌市西区二十四軒三条1丁目1番18号 メディカルスクエア二十四軒1階	2
F0050	北海道	医療法人社団活寿会 札幌ひざ関節症クリニック	札幌市中央区北一条西三丁目3番11 桂和北1条ビル6階	1
F0051	北海道	社会医療法人北斗 北斗病院	帯広市稲田町基線7番地5	2
F0052	北海道	社会医療法人 孝仁会 釧路孝仁会記念病院	釧路市愛国191番212	1
F0053	北海道	社会医療法人社団 朋仁会 整形外科 北新病院	札幌市東区北8条東4丁目1番5号	2
F0054	北海道	社会医療法人松田整形外科記念病院	札幌市北区北18条西4丁目1番35号	2
F0055	北海道	医療法人社団 福亀会 札幌中央整形外科クリニック	札幌市中央区北1条西4丁目2-2札幌ノースプラザ3F	3
F0056	北海道	医療法人社団福亀会 福住整形外科クリニック	札幌市豊平区福住2条1丁目2-5 福住メディカル6F	2
F0057	北海道	医療法人美喜有会 リペアセルクリニック札幌院	札幌市中央区大通西5丁目10番 ザイマックス札幌大通ビルB1	3
F0059	千葉県	医療法人社団南洲会 南洲会勝浦クリニック	勝浦市墨名485番地252	2
F0077	埼玉県	一般社団法人ARMS ライオンズ整形外科クリニック	所沢市大字上山口2178番6	2
F0080	埼玉県	医療法人くろや整形外科医院	深谷市田中2643-8	2
F0088	埼玉県	大宮はしもと整形外科	さいたま市中央区上落合8-3-32	4
F0095	埼玉県	東松山市立市民病院	東松山市大字松山2392番地	2
F0098	埼玉県	社会医療法人新青会 川口工業総合病院	川口市青木1-18-15	2
F0100	埼玉県	医療法人社団髙志会 レイクタウン整形外科病院	越谷市レイクタウン5-13-6	1
F0102	埼玉県	医療法人社団鴻愛会 こうのす共生病院	鴻巣市上谷2073-1	3
F0105	大分県	児玉病院	別府市亀川四の湯町5-19	2
F0106	大分県	明野中央病院	大分市明野東2-7-33	1
F0107	大分県	猿渡整形外科スポーツリハクリニック	大分市竹下2丁目126	1
F0142	宮城県	JR仙台病院	仙台市青葉区五橋1丁目1-5	2
F0143	宮城県	医療法人社団 佐藤整形外科医院	石巻市中央1丁目13-17	1
F0144	宮城県	独立行政法人地域医療機能推進機構仙台病院	仙台市泉区紫山2-1-1	2
F0145	宮城県	宮城整形外科 スポーツ・ウェルネスクリニック	黒川郡大和町しあわせの杜8-11	2
F0146	宮城県	医療法人小池クリニック整形外科	仙台市青葉区台原一丁目7番24号	1
F0147	宮城県	医療法人社団活寿会 仙台ひざ関節症クリニック	仙台市青葉区一番町2-4-19 シリウス・一番町1F	1
F0148	宮城県	関節外科スポーツクリニック石巻	石巻市あゆみ野5丁目2-1	1
F0149	宮崎県	あたご整形外科	延岡市愛宕町3-161	2
F0150	宮崎県	くもん整形外科 スポーツ・骨関節クリニック	延岡市緑ヶ丘2-8-11	1
F0151	宮崎県	坂田整形外科クリニック	宮崎市大塚町樋ノ口1981-1	1
F0152	宮崎県	整形外科 押領司病院	小林市細野162-1	1
F0153	宮崎県	橘病院	都城市中町15街区24号	2
F0154	富山県	整形外科センター西能クリニック	富山市高田70	2
F0159	山形県	国立大学法人山形大学医学部附属病院	山形市飯田西二丁目2番2号	2
F0160	山形県	医療法人徳洲会 山形徳洲会病院	山形市清住町二丁目三番51号	2
F0161	山形県	志田整形外科医院	鶴岡市みどり町18-5	3
F0168	岡山県	医療法人社団きびじ整形外科・内科・リハビリクリニック	総社市岡谷337番1	2
F0169	岡山県	医療法人社団河合会 新倉敷メディカルスクエア	倉敷市玉島1719	2
F0171	岩手県	いわてスポーツ・整形外科クリニック	盛岡市向中野字細谷地114番地	1
F0172	岩手県	医療法人日新堂 八角医院	盛岡市好摩字夏間木101番地2	2
F0173	岩手県	盛岡ふじさわ整形外科クリニック	盛岡市本宮三丁目9番13号	2
F0174	岩手県	菅原整形外科クリニック	一関市銅谷町9番18号	1
F0195	愛媛県	住友別子病院	新居浜市王子町3番1号	2
F0197	愛媛県	愛媛大学医学部附属病院	東温市志津川	2
F0271	東京都	医療法人社団幹葉会 南青山外苑前整形外科リハビリテーション科クリニック	港区南青山2-27-27 丸八青山ビル5F	1
F0330	栃木県	医療法人 英心会 倉持整形外科・皮膚科美容皮膚科	宇都宮市屋板町405-1	2
F0332	沖縄県	てだこ整形外科	浦添市前田3-13-28	1
F0333	沖縄県	ロクト整形Az	那覇市奥武山町46-5 5F	2
F0334	沖縄県	南部徳洲会病院	島尻郡八重瀬町外間171-1	1
F0335	沖縄県	友愛医療センター	豊見城市与根50-212	2
F0336	沖縄県	同仁病院	浦添市城間1-37-12	1
