priority,plan_id,facility_id,region,prefecture,facility,facility_source,facility_normalized,category,treatment,treatment_class,status,match_score,document_url,amount,tax,unit,products,makers,score,page,excerpt,qc_reason,error
A,P00637,F0451,中部,新潟県,医療法人社団ibis こばり坂クリニック,医療法人社団ibis こばり坂クリニック,医療法人社団ibis こばり坂クリニック,第二種,変形性関節症に対する多血小板血漿（PRP）関節内投与療法,PRP,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2411010/5/0,270000,税込,,,,5,4,"細胞の提供に際して費用は発生しません。 治療の提供に際しては、本治療は公的保険の対象ではありませんので、当院所定の施術料とし て270,000円(税込)をお支払いいただきます。 ※患者様の症状、その他の事情等により治療費が変動する場合があります。 なお、細胞の採取後や加工後に同意を撤回された場合など、同意を撤回される時点までに費用",price candidates remain ambiguous,
A,P00639,F0453,中部,新潟県,医療法人社団おおたに整形外科クリニック,医療法人社団おおたに整形外科クリニック,医療法人社団おおたに整形外科クリニック,第二種,自家多血小板血漿（PRP）を用いた変形性関節症および関節腔内の治療,PRP,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2605002/5/0,,,,,,,,,no price found after rescue text/OCR pass,Rescue completed; OCR page timeouts=0
A,P00640,F0205,中部,新潟県,医療法人社団間庭整形外科医院,医療法人社団間庭整形外科医院,医療法人社団間庭整形外科医院,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,AUTO,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2511050/5/0,45000,税別,,ACP MAX|ACP,Arthrex,8,,"用は、以下のとおりです。なお、費用に含まれるのは、治療に伴う 診査、自家PRP 調製のための採血にかかる費用、自家PRP 調製費用、注入にかかる 費用であり、以下が費用の総額となります。 治療の種類 平均的な血小板注入量 費用(税抜) ACP-PRP 20 億個 45,000 円 HD-PRP(ACP MAX の場合) 90 億個 150,000 円 また、ACP-PRP は効果を高めるため、2 倍量1 度に投与することが可能です。 その場合の費用は以下の通りです。 治療の種類 平均的な血小板注入量 費用(税抜) ACP-PRP ダブルショット 40 億個 80",,
A,P00640,F0205,中部,新潟県,医療法人社団間庭整形外科医院,医療法人社団間庭整形外科医院,医療法人社団間庭整形外科医院,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,AUTO,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2511050/5/0,80000,税別,,ACP,Arthrex,8,,"の場合) 90 億個 150,000 円 また、ACP-PRP は効果を高めるため、2 倍量1 度に投与することが可能です。 その場合の費用は以下の通りです。 治療の種類 平均的な血小板注入量 費用(税抜) ACP-PRP ダブルショット 40 億個 80,000 円 • 治療終了後も定期的な受診が必要です。 9 11.試料等の保存及び廃棄の方法 患者様から採取した血液と作製したPRP は、患者様ご自身の治療のみに使用しま す。ただし、症例検討や学会発表を目的として、血液やPRP の測定を行い、データ を取得することがあります。 血液およびP",,
A,P00640,F0205,中部,新潟県,医療法人社団間庭整形外科医院,医療法人社団間庭整形外科医院,医療法人社団間庭整形外科医院,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,AUTO,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2511050/5/0,150000,税別,,ACP MAX|ACP,Arthrex,8,,"調製のための採血にかかる費用、自家PRP 調製費用、注入にかかる 費用であり、以下が費用の総額となります。 治療の種類 平均的な血小板注入量 費用(税抜) ACP-PRP 20 億個 45,000 円 HD-PRP(ACP MAX の場合) 90 億個 150,000 円 また、ACP-PRP は効果を高めるため、2 倍量1 度に投与することが可能です。 その場合の費用は以下の通りです。 治療の種類 平均的な血小板注入量 費用(税抜) ACP-PRP ダブルショット 40 億個 80,000 円 • 治療終了後も定期的な受診が必要です。",,
A,P00641,F0454,中部,新潟県,新潟大学医歯学総合病院,新潟大学医歯学総合病院,新潟大学医歯学総合病院,第二種,多血小板血漿抽出液（Autologous Protein Solution）による関節治療,APS,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2509054/5/0,297220,税込,,APS,Zimmer Biomet,8,,"て結果や経過・治療部 位の写真などを公表する可能性がありますが、患者様個人を特定で きる内容が使われることはありません。 治療にかかる費用につい て この治療は公的保険の対象ではありませんので、当院所定の施術料 (297,220円(税込))をお支払いいただきます。 上記金額は、投与前の採血や投与当日の処置料(APSキット料金、 手技料を含んだ金額)、および投 与後1か月の経過観察、投与後12か月でのMRIを含んだ費用となり ます。なお、この間の経過観察での処置については通常の保険診療 で行い、患者様の健康保険負担割合に応じて負担していただきま",,
A,P00642,F0368,中部,福井県,医療法人 博俊会 春江病院,医療法人 博俊会 春江病院,医療法人 博俊会 春江病院,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,AUTO,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2602003/5/0,44000,税込,両側,ACP MAX|ACP,Arthrex,11,7,"なお、左右両側へ投与を行う場合は、2 回分の費用が必要となります。 PRP 療法1 回目(ACP 使用) 1 部位あたり55,000 円(税込) PRP 療法2 回目以降(ACP 使用) 1 部位あたり44,000 円(税込) HD-PRP 療法(ACP MAX 使用) 1 回あたり165,000 円(税込) (3) 採血を開始してからのキャンセルについては、キャンセル費用をいただ",line-level strong price context,
A,P00642,F0368,中部,福井県,医療法人 博俊会 春江病院,医療法人 博俊会 春江病院,医療法人 博俊会 春江病院,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,AUTO,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2602003/5/0,55000,税込,両側,ACP MAX|ACP,Arthrex,11,7,"にかかる費用のすべてが含まれております。 なお、左右両側へ投与を行う場合は、2 回分の費用が必要となります。 PRP 療法1 回目(ACP 使用) 1 部位あたり55,000 円(税込) PRP 療法2 回目以降(ACP 使用) 1 部位あたり44,000 円(税込) HD-PRP 療法(ACP MAX 使用) 1 回あたり165,000 円(税込)",line-level strong price context,
A,P00642,F0368,中部,福井県,医療法人 博俊会 春江病院,医療法人 博俊会 春江病院,医療法人 博俊会 春江病院,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,AUTO,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2602003/5/0,165000,税込,1 回,ACP MAX|ACP,Arthrex,10,7,"PRP 療法1 回目(ACP 使用) 1 部位あたり55,000 円(税込) PRP 療法2 回目以降(ACP 使用) 1 部位あたり44,000 円(税込) HD-PRP 療法(ACP MAX 使用) 1 回あたり165,000 円(税込) (3) 採血を開始してからのキャンセルについては、キャンセル費用をいただ きます。",line-level strong price context,
A,P00643,F0455,中部,福井県,医療法人Eternabloom さくら通り整形外科クリニック,医療法人Eternabloom さくら通り整形外科クリニック,医療法人Eternabloom さくら通り整形外科クリニック,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,QC,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2604005/5/0,220000,税込,,ACP MAX|ACP,Arthrex,6,6,"費用(税込) HD-PRP(ACP MAX) 220,000円 66,000円",price candidates remain ambiguous,
A,P00643,F0455,中部,福井県,医療法人Eternabloom さくら通り整形外科クリニック,医療法人Eternabloom さくら通り整形外科クリニック,医療法人Eternabloom さくら通り整形外科クリニック,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,QC,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2604005/5/0,66000,不明,,ACP MAX|ACP,Arthrex,2,6,"HD-PRP(ACP MAX) 220,000円 66,000円",price candidates remain ambiguous,
A,P00644,F0456,中部,福井県,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,医療法人弘昭会 大森整形外科リウマチ科,第二種,脂肪組織由来幹細胞（ASC）による関節治療,脂肪由来ASC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2408010/5/0,330000,税込,,,,8,,"した施術および細胞培養にかかっ 脂肪組織由来幹細胞(ASC)による関節治療に対する説明書・同意書 7 た費用をお支払いいただきます。 ・ 脂肪採取前に治療をとりやめた場合、費用のお支払いはございません。 ・ 脂肪採取後から投与の予約確定前までに治療をとりやめた場合、330,000 円(税込)を お支払いいただきます。 ・ 投与の予約確定後に治療をとりやめた場合、726,000 円(税込)をお支払いいただきま す。 また治療を行った後は、健康管理のために必要に応じて適切な検査を受けていただき、医学 的に問題がないかを確認させていただきます。 13. 個人情報保護について 「個人情報の",,
