plan_id,facility_id,prefecture,facility,category,treatment,status,match_score,document_url,amount,tax,unit,products,score,page,excerpt,qc_reason,error
P00139,F0062,千葉県,医療法人平成博愛会 印西総合病院,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療,QC,0.9333,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2307045/5/0,55000,税込,1 回,ACP|APS,6,7,"費用(PRP 1 回・税込) ACP 55,000 円 APS 275,000 円",price candidates remain ambiguous,
P00139,F0062,千葉県,医療法人平成博愛会 印西総合病院,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療,QC,0.9333,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2307045/5/0,110000,不明,,GPS,5,7,"275,000 円 GPSIII 110,000 円 (3) 採血を開始してからキャンセルされた場合は、費用の全額をご負担いた だきます。",price candidates remain ambiguous,
P00139,F0062,千葉県,医療法人平成博愛会 印西総合病院,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療,QC,0.9333,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2307045/5/0,275000,不明,,APS|GPS,2,7,"55,000 円 APS 275,000 円 GPSIII 110,000 円",price candidates remain ambiguous,
P00140,F0065,千葉県,医療法人成春会 北習志野花輪病院,第二種,関節炎・変形性関節症を対象とした自己多血小板血漿（PRP）療法,AUTO,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2512026/5/0,40000,税別,1 回,,8,,"護に関する法律及び当院が定める患者個人情報保護に関 する指針に基づき、診療録に記載されている患者個人情報や診療情報は厳 重に管理されます。 □ 治療にかかる費用 について わが国ではPRP 療法は現時点で保険診療として認められていないため、 自費診療となります。当院では、1 回の治療につき片側で40,000 円(税抜)、 両側の場合は70,000 円(税抜)ご負担いただきます。 □ その他について PRP 療法の効果は病態や重症度、個人差により異なり、どなたにも同じ ような効果が期待できる訳ではなく、複数回の治療を行っても思うような 効果が得られないことも考えられます。その際は代替療法も考慮します が、特に慢性障害などでは発症要因となってい",,
P00140,F0065,千葉県,医療法人成春会 北習志野花輪病院,第二種,関節炎・変形性関節症を対象とした自己多血小板血漿（PRP）療法,AUTO,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2512026/5/0,70000,税別,1 回,,8,,"報保護に関 する指針に基づき、診療録に記載されている患者個人情報や診療情報は厳 重に管理されます。 □ 治療にかかる費用 について わが国ではPRP 療法は現時点で保険診療として認められていないため、 自費診療となります。当院では、1 回の治療につき片側で40,000 円(税抜)、 両側の場合は70,000 円(税抜)ご負担いただきます。 □ その他について PRP 療法の効果は病態や重症度、個人差により異なり、どなたにも同じ ような効果が期待できる訳ではなく、複数回の治療を行っても思うような 効果が得られないことも考えられます。その際は代替療法も考慮します が、特に慢性障害などでは発症要因となっている動作改善も必要であり、 リハビリを平行",,
P00141,F0068,千葉県,医療法人社団 淳英会 Jメディカルおゆみの,第二種,自己脂肪組織由来幹細胞（ASCs）を用いた変形性関節症の治療,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2606091/5/0,500000,不明,1回,,6,1,"メモ 1関節1回投与 500,000円 診察料、血液感染症検査費用含む",price candidates remain ambiguous,
P00141,F0068,千葉県,医療法人社団 淳英会 Jメディカルおゆみの,第二種,自己脂肪組織由来幹細胞（ASCs）を用いた変形性関節症の治療,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2606091/5/0,800000,不明,1回,,6,2,"2関節1回投与 800,000円 診察料、血液感染症検査費用、細胞保管料含む 1関節2回投与",price candidates remain ambiguous,
P00141,F0068,千葉県,医療法人社団 淳英会 Jメディカルおゆみの,第二種,自己脂肪組織由来幹細胞（ASCs）を用いた変形性関節症の治療,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2606091/5/0,800000,不明,2回,,6,2,"診察料、血液感染症検査費用、細胞保管料含む 1関節2回投与 800,000円 診察料、血液感染症検査費用、細胞保管料含む 治療の内容は患者さまの患部の状態やご希望の治療内容に応じて、",price candidates remain ambiguous,
P00141,F0068,千葉県,医療法人社団 淳英会 Jメディカルおゆみの,第二種,自己脂肪組織由来幹細胞（ASCs）を用いた変形性関節症の治療,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2606091/5/0,17600,税込,,,2,2,"脂肪を採取し改めて細胞を培養する必要がございます。ご希望の場 合は担当医師にご相談ください。 *血液感染症検査・診察費用(税込17,600円)およびアフターケア 検診(脂肪採取1週間後および投与1か月後)費用は、上記金額に 含まれます。",price candidates remain ambiguous,
P00152,F0058,千葉県,医療法人社団オルソプラス むらた整形外科,第三種,自家多血小板血漿（PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療,AUTO,0.9651,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2409052/5/0,55000,税込,両側,,12,6,"査、PRP 作製のための採血にかかる費用、PRP 作製費用、注入にかかる費 用の総額となります。左右両側に投与する場合は、2 回分です。 PRP 1回(1 部位) 55,000 円(税込) (3) 採血を開始してからのキャンセルについては、キャンセル費用をいただ きます。",line-level strong price context,
P00144,F0060,千葉県,医療法人社団奏の杜整形外科,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療,AUTO,0.9333,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2102007/5/0,30000,税別,2 回分,,9,,(2) 本治療にかかる費用は、以下のとおりです。なお、費用は、治療に伴う診査、 自家PRP 調製のための採血にかかる費用、自家PRP 調製費用、注入にかか る費用の総額となります。左右両側に投与する場合は、2 回分です。 *消費税別 PRP 療法1回 1 部位の場合 (15ml 採血) 3 万円 (55ml 採血)30 万円 11. 試料等の保存及び廃棄の方法 患者様から採取した血液と作製したPRP は、患者様ご自身の治療のみに 使用します。ただし、症例検討や学会発表を目的として、血液やPRP の測 定を行い、データを取得することがあります。 血液およびPRP は微量で全量を使用するため、保管はしません,,
P00144,F0060,千葉県,医療法人社団奏の杜整形外科,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療,AUTO,0.9333,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2102007/5/0,300000,税別,2 回分,,9,,用は、以下のとおりです。なお、費用は、治療に伴う診査、 自家PRP 調製のための採血にかかる費用、自家PRP 調製費用、注入にかか る費用の総額となります。左右両側に投与する場合は、2 回分です。 *消費税別 PRP 療法1回 1 部位の場合 (15ml 採血) 3 万円 (55ml 採血)30 万円 11. 試料等の保存及び廃棄の方法 患者様から採取した血液と作製したPRP は、患者様ご自身の治療のみに 使用します。ただし、症例検討や学会発表を目的として、血液やPRP の測 定を行い、データを取得することがあります。 血液およびPRP は微量で全量を使用するため、保管はしません。治療に 用いない血液またはPRP,,
P00153,F0061,千葉県,医療法人社団実幸会 いらはら診療所,第三種,四肢の筋・腱・靱帯及びその付着部の傷害を対象とした自家多血小板血漿（PRP）注入療法,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2509027/5/0,33000,税込,1 回,,9,,"適用されない自由診療です。そのため、患者様の費用負担が 他の治療よりも高額になることがあります。当院において実施される本治療および本治 療に必要な検査などの費用は全額自己負担となります。 血液分離専用容器キットによる提供価格 PRP:(京セラCondensia システム)使用 ・・・・1 回33,000 円(税込) ※患者様の症状によっては、治療を数回行うことがあります。治療前、または治療後 の状態から担当医師が判断し、患者様にお伝えしご相談させて頂きます。 ※治療内容・回数により1回あたりの費用が減額される場合がございます。施術する 前に詳細な説明をいたしますので、ご納得いただいた上で施術いただきますようお 願い申し上げます。",,
P00153,F0061,千葉県,医療法人社団実幸会 いらはら診療所,第三種,四肢の筋・腱・靱帯及びその付着部の傷害を対象とした自家多血小板血漿（PRP）注入療法,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2509027/5/0,5000,税込,,,-7,,"受けた後に同意されない場合でも、一切不利益を受けることはありません。 また同様に、治療を受けることに同意した場合であっても、投与までの間でしたらい つでも取りやめることができます。その場合、その後の治療について一切不利益は受け ません。(ただし下記のキャンセル料は申し受けます) 採血後~加工前 5,000 円(税込) 加工後~投与前 33,000 円(税込) もしこの治療を受けることに同意しない場合も、最適と考えられる治療を実施できる ように患者様の治療に最善を尽くします。 ただし、治療を行った後は、健康管理のために必要に応じて適切な検査を受けていた だき、医学的に問題がないかを確認させていただきます。 11. 試料等の保管",,
P00153,F0061,千葉県,医療法人社団実幸会 いらはら診療所,第三種,四肢の筋・腱・靱帯及びその付着部の傷害を対象とした自家多血小板血漿（PRP）注入療法,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2509027/5/0,33000,税込,,,-7,,"受けることはありません。 また同様に、治療を受けることに同意した場合であっても、投与までの間でしたらい つでも取りやめることができます。その場合、その後の治療について一切不利益は受け ません。(ただし下記のキャンセル料は申し受けます) 採血後~加工前 5,000 円(税込) 加工後~投与前 33,000 円(税込) もしこの治療を受けることに同意しない場合も、最適と考えられる治療を実施できる ように患者様の治療に最善を尽くします。 ただし、治療を行った後は、健康管理のために必要に応じて適切な検査を受けていた だき、医学的に問題がないかを確認させていただきます。 11. 試料等の保管及び廃棄の方法について この治療にて患者",,
P00145,F0061,千葉県,医療法人社団実幸会 いらはら診療所,第二種,変形性関節症を対象とした自家多血小板血漿（PRP）注入療法,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2509021/5/0,33000,税込,1 回,,9,,"されない自由診療です。そのため、患者様の費用負担が 他の治療よりも高額になることがあります。当院において実施される本治療および本治 療に必要な検査などの費用は全額自己負担となります。 血液分離専用容器キットによる提供価格 PRP:(京セラCondensia システム)使用 ・・・・・1 回33,000 円(税込) ※患者様の症状によっては、治療を数回行うことがあります。治療前、または治療後の 状態から担当医師が判断し、患者様にお伝えしご相談させて頂きます。 ※治療内容・回数により1回あたりの費用が減額される場合がございます。施術する前 に詳細な説明をいたしますので、ご納得いただいた上で施術をお受けいただけますよ うお願い申し上げま",,
P00145,F0061,千葉県,医療法人社団実幸会 いらはら診療所,第二種,変形性関節症を対象とした自家多血小板血漿（PRP）注入療法,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2509021/5/0,5000,不明,,,-8,,"受けた後に同意されない場合でも、一切不利益を受けることはありません。 また同様に、治療を受けることに同意した場合であっても、投与までの間でしたらい つでも取りやめることができます。その場合、その後の治療について一切不利益は受け ません。(ただし下記のキャンセル料は申し受けます) 採血後~加工前 5,000 円 加工後~投与前 33,000 円 もしこの治療を受けることに同意しない場合も、最適と考えられる治療を実施できる ように患者様の治療に最善を尽くします。 ただし、治療を行った後は、健康管理のために必要に応じて適切な検査を受けていた だき、医学的に問題がないかを確認させていただきます。 11. 試料等の保管及び廃棄の方法につ",,
