plan_id,facility_id,prefecture,facility,category,treatment,status,match_score,document_url,amount,tax,unit,products,score,page,excerpt,qc_reason,error
P00302,F0207,東京都,AR-Ex尾山台整形外科,第三種,自家多血小板血漿（PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503075/5/0,50000,税別,1 回(1 部位),ACP,6,7,"費用(税別) ACP およびハンドメイド 1 回(1 部位) 50,000 円 ACP およびハンドメイド(学割) 1 回(1 部位) 35,000 円",price candidates remain ambiguous,
P00302,F0207,東京都,AR-Ex尾山台整形外科,第三種,自家多血小板血漿（PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503075/5/0,150000,不明,1 回(1 部位),ACP MAX|ACP,5,7,"1 回(1 部位) 95,000 円 ACP MAX 1 回(1 部位) 150,000 円 (3) 採血を開始してからのキャンセルについては、キャンセル費用をいただ きます。",price candidates remain ambiguous,
P00302,F0207,東京都,AR-Ex尾山台整形外科,第三種,自家多血小板血漿（PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503075/5/0,35000,不明,1 回(1 部位),ACP,2,7,"1 回(1 部位) 50,000 円 ACP およびハンドメイド(学割) 1 回(1 部位) 35,000 円 ACP ダブルショット 1 回(1 部位) 95,000 円",price candidates remain ambiguous,
P00302,F0207,東京都,AR-Ex尾山台整形外科,第三種,自家多血小板血漿（PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503075/5/0,95000,不明,1 回(1 部位),ACP MAX|ACP,2,7,"1 回(1 部位) 35,000 円 ACP ダブルショット 1 回(1 部位) 95,000 円 ACP MAX 1 回(1 部位) 150,000 円",price candidates remain ambiguous,
P00304,F0213,東京都,RiCarna Clinic,第三種,自己多血小板血漿（PRP）を用いた筋・腱・靱帯損傷部の治癒促進を目的とした整形外科治療,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2502013/5/0,220000,税込,,,15,5,"完全には否定できない ≪治療費用≫ □治療費は、PRP1ccにつき220,000円(税込)です。 ※患部の状態を確認した医師の判断、およびそれに応じたPRPの 投与量等により変更となる場合があります※",line-level strong price context,
P00305,F0214,東京都,SBC整形外科クリニック西新宿本院,第三種,多血小板血漿（PRP）の投与によるスポーツ外傷を含む筋、腱、靱帯損傷治療,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2510017/5/0,40000,不明,1回,GPS|Mycells,8,,"9, No. 6, 2011よ り 9. 治療にかかる費用につい て この治療は公的保険の対象ではありませんので、当クリニック所定 の下記の施術料をお支払いいただきます。 ・PRP(MyCells®キット)を用いた治療における施術料 40,000円 ・PRP(遠沈管での製造)を用いた治療における施術料 170,000円 ・PRP(GPSIIIキット)を用いた治療における施術料 308,000円 ご不明な点は医師・スタッフにお尋ねください。なお1回の施術あ たりの費用は、患部の状態を確認した医師の判断、およびそれに応 じたPRP投与量等により変更となる場合がございます。 10. その",,
P00305,F0214,東京都,SBC整形外科クリニック西新宿本院,第三種,多血小板血漿（PRP）の投与によるスポーツ外傷を含む筋、腱、靱帯損傷治療,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2510017/5/0,170000,不明,1回,GPS|Mycells,8,,"この治療は公的保険の対象ではありませんので、当クリニック所定 の下記の施術料をお支払いいただきます。 ・PRP(MyCells®キット)を用いた治療における施術料 40,000円 ・PRP(遠沈管での製造)を用いた治療における施術料 170,000円 ・PRP(GPSIIIキット)を用いた治療における施術料 308,000円 ご不明な点は医師・スタッフにお尋ねください。なお1回の施術あ たりの費用は、患部の状態を確認した医師の判断、およびそれに応 じたPRP投与量等により変更となる場合がございます。 10. その他治療についての注意事 項",,
P00305,F0214,東京都,SBC整形外科クリニック西新宿本院,第三種,多血小板血漿（PRP）の投与によるスポーツ外傷を含む筋、腱、靱帯損傷治療,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2510017/5/0,308000,不明,1回,GPS|Mycells,8,,"公的保険の対象ではありませんので、当クリニック所定 の下記の施術料をお支払いいただきます。 ・PRP(MyCells®キット)を用いた治療における施術料 40,000円 ・PRP(遠沈管での製造)を用いた治療における施術料 170,000円 ・PRP(GPSIIIキット)を用いた治療における施術料 308,000円 ご不明な点は医師・スタッフにお尋ねください。なお1回の施術あ たりの費用は、患部の状態を確認した医師の判断、およびそれに応 じたPRP投与量等により変更となる場合がございます。 10. その他治療についての注意事 項 患者様の体調が良くない場合や、採取した血液の状態によっ",,
P00306,F0216,東京都,TAO Clinic,第三種,自家多血小板血漿（PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602015/5/0,200000,不明,,Angel,5,6,"HD‐PRP(Angel) 150億個 200,000円 ※上記には、採血・調製・注入の技術料が含まれます。 ※採血開始後のキャンセルは、材料等が既に使用されているため、費用全額を申し受けます。",price candidates remain ambiguous,
P00306,F0216,東京都,TAO Clinic,第三種,自家多血小板血漿（PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602015/5/0,30000,不明,,ACP MAX|ACP,2,6,"ACP‐PRP(通常) 20億個 30,000円 HD‐PRP(ACP MAX) 90億個",price candidates remain ambiguous,
P00306,F0216,東京都,TAO Clinic,第三種,自家多血小板血漿（PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602015/5/0,100000,不明,,ACP MAX|ACP|Angel,2,6,"HD‐PRP(ACP MAX) 90億個 100,000円 HD‐PRP(Angel) 150億個",price candidates remain ambiguous,
P00237,F0218,東京都,TOKYOひまわりクリニック,第二種,自己脂肪由来間葉系幹細胞を用いた変形性関節症治療,FAIL,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2503010/5/0,,,,,,,,document fetch/parse failed,RuntimeError: Tesseract process timeout
P00324,F0225,東京都,アーモンドクリニック,第二種,自家培養脂肪由来幹細胞を用いた変形性膝関節症の治療,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2211010/5/0,,,,,,,,no price found after text/OCR pass,Document fetched but no price candidate
P00307,F0230,東京都,ガーデンクリニック ザ・ホワイトデンタルクリニック 品川院,第三種,自家多血小板血漿（PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2110022/5/0,319000,税込,2 回分,,9,,"て自費診療です。 (2) 本治療にかかる費用は、以下のとおりです。なお、費用は、治療に伴う診査、 自家PRP 調製のための採血にかかる費用、自家PRP 調製費用、注入にかか る費用の総額となります。左右両側に投与する場合は、2 回分です。 PRP 療法1回(1 部位) 319,000 円(税込) 11. 試料等の保存及び廃棄の方法 患者様から採取した血液と作製したPRP は、患者様ご自身の治療のみに 使用します。ただし、症例検討や学会発表を目的として、血液やPRP の測 定を行い、データを取得することがあります。 血液およびPRP は微量で全量を使用するため、保管はしません。治療に 用いない血液ま",,
P00308,F0231,東京都,キヤンメディカルクリニック虎ノ門,第三種,多血小板血漿を用いた整形外科領域（関節腔内への投与を除く）の治療,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2409027/5/0,,,,,,,,no price found after text/OCR pass,Document fetched but no price candidate
P00238,F0239,東京都,リソークリニック,第二種,変形性関節症に対する自己脂肪・滑膜由来培養間葉系幹細胞の関節内投与療法,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2607007/5/0,498000,税別,1回,,9,,"険適用外ですので、治療にかかる費用全額をご自分でご負担いただきます。その他、本治療を受け るために必要となった宿泊費・交通費などの全ての費用もご自分でご負担いただきます。 治療に必要な費用は細胞採取費用・局所麻酔料・培養費用・細胞保管料・関節内投与料・鎮痛剤・抗生物質な どを含めて、幹細胞1億個:498,000円/回(税別)となっております。症状やMRI 等の画像診断結果により投与量 (細胞数)が異なります。 また、1回の脂肪採取で1〜4回の投与分の細胞培養が可能です(採取した脂肪や細胞の状況により異なりま す)。なお、患者様ごとに投与量、投与回数と投与回数に応じたトータル費用(概算)を説明しますので、必ず担 当医の説明を受けてください。2",,
P00239,F0217,東京都,一般社団法人 The cell clinic,第二種,変形性膝関節症に対する自己脂肪由来間葉系幹細胞治療,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503081/5/0,550000,税込,1 部位,,8,,"本治療は、保険適用外の治療(自由診療)であるため、本治療の提供にかかる費用は、培養にかかる細胞加工 費、幹細胞投与費、検査費、薬剤などの消耗備品を含め治療費総額 初回 1 部位 1,100,000 円(税込) 2 部位 1,650,000 円(税込) 2 回目以降 1 部位 550,000 円(税込) 2 部位 550,000 円(税込) を患者様ご自身にご負担いただきます。 また、治療に使用する細胞の品質が悪く治療ができない場合、再度脂肪組織の採取および細胞培養を行います。その 際に係る費用については、請求することはありませんが、旅費、交通費などの費用はご自身でご負担いただきます。あらか じめご了承ください。なお",,
P00239,F0217,東京都,一般社団法人 The cell clinic,第二種,変形性膝関節症に対する自己脂肪由来間葉系幹細胞治療,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503081/5/0,1100000,税込,1 部位,,8,,"ませんし、これからの治療に影響することもありま せん。 12. 本治療の費用について 本治療は、保険適用外の治療(自由診療)であるため、本治療の提供にかかる費用は、培養にかかる細胞加工 費、幹細胞投与費、検査費、薬剤などの消耗備品を含め治療費総額 初回 1 部位 1,100,000 円(税込) 2 部位 1,650,000 円(税込) 2 回目以降 1 部位 550,000 円(税込) 2 部位 550,000 円(税込) を患者様ご自身にご負担いただきます。 また、治療に使用する細胞の品質が悪く治療ができない場合、再度脂肪組織の採取および細胞培養を行います。その 際に係る費用については、請求するこ",,
P00239,F0217,東京都,一般社団法人 The cell clinic,第二種,変形性膝関節症に対する自己脂肪由来間葉系幹細胞治療,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503081/5/0,1650000,税込,1 部位,,8,,"りま せん。 12. 本治療の費用について 本治療は、保険適用外の治療(自由診療)であるため、本治療の提供にかかる費用は、培養にかかる細胞加工 費、幹細胞投与費、検査費、薬剤などの消耗備品を含め治療費総額 初回 1 部位 1,100,000 円(税込) 2 部位 1,650,000 円(税込) 2 回目以降 1 部位 550,000 円(税込) 2 部位 550,000 円(税込) を患者様ご自身にご負担いただきます。 また、治療に使用する細胞の品質が悪く治療ができない場合、再度脂肪組織の採取および細胞培養を行います。その 際に係る費用については、請求することはありませんが、旅費、交通費などの費用は",,
P00301,F0215,東京都,一般社団法人SOL SOL整形外科世田谷スポーツクリニック,第三種,多血小板血漿（PRP）を用いた整形外科領域における軟部組織治療,AUTO,0.9874,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2206037/5/0,40000,税別,,ACP,8,,"りますが、患者 様個人を特定できる内容が使われることはありません。 治療にかかる費用について この治療は公的保険の対象ではありませんので、当院所定の施術料をお支払いいただきま す。 ・アースレックス社製 ACP 40,000 円(税抜) ・DSM バイオメディカル社製 PRP システム 30ml キット仕様 200,000 円(税抜) 60ml キット仕様 300,000 円(税抜) 症状などにより治療費は変動する可能性がございます。 詳細やご不明な点は医師またはスタッフにお尋ね下さい。 施術後、患者様の個人的な",,
P00301,F0215,東京都,一般社団法人SOL SOL整形外科世田谷スポーツクリニック,第三種,多血小板血漿（PRP）を用いた整形外科領域における軟部組織治療,AUTO,0.9874,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2206037/5/0,200000,税別,,ACP,8,,"この治療は公的保険の対象ではありませんので、当院所定の施術料をお支払いいただきま す。 ・アースレックス社製 ACP 40,000 円(税抜) ・DSM バイオメディカル社製 PRP システム 30ml キット仕様 200,000 円(税抜) 60ml キット仕様 300,000 円(税抜) 症状などにより治療費は変動する可能性がございます。 詳細やご不明な点は医師またはスタッフにお尋ね下さい。 施術後、患者様の個人的な事情及び金銭等に関する問題に関しては一切の責を負いかねます のでご了承ください。 本治療の実",,
P00301,F0215,東京都,一般社団法人SOL SOL整形外科世田谷スポーツクリニック,第三種,多血小板血漿（PRP）を用いた整形外科領域における軟部組織治療,AUTO,0.9874,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2206037/5/0,300000,税別,,ACP,8,,"ませんので、当院所定の施術料をお支払いいただきま す。 ・アースレックス社製 ACP 40,000 円(税抜) ・DSM バイオメディカル社製 PRP システム 30ml キット仕様 200,000 円(税抜) 60ml キット仕様 300,000 円(税抜) 症状などにより治療費は変動する可能性がございます。 詳細やご不明な点は医師またはスタッフにお尋ね下さい。 施術後、患者様の個人的な事情及び金銭等に関する問題に関しては一切の責を負いかねます のでご了承ください。 本治療の実施体制 本治療は、以下の",,
P00312,F0229,東京都,一般社団法人エンパシア IIT CLINIC,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,FAIL,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2504027/5/0,,,,,,,,document fetch/parse failed,RuntimeError: Tesseract process timeout
