facility_key	prefecture	facility	manufacturers	manufacturer_count	products	sources
三重県|岩崎病院	三重県	岩崎病院	Arthrex	1	ACP	MANUAL_VERIFIED
三重県|恩賜財団済生会松阪市民病院	三重県	社会福祉法人恩賜財団済生会松阪市民病院	Zimmer Biomet	1	APS	MANUAL_VERIFIED
京都府|cliniqueharukyoto	京都府	Clinique Haru Kyoto	Arthrex|ESTAR Technologies|REV-MED|Ycellbio Medical|Zimmer Biomet	5	ACP|APS|GPS|MyCells|TriCeLL|MyCells|TriCeLL|YCELL	MANUAL_VERIFIED|MHLW_FULL
京都府|エムスカイ松木整形外科クリニック	京都府	医療法人エムスカイ 松木整形外科クリニック	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
京都府|京都翔医会西京都病院	京都府	医療法人京都翔医会 西京都病院	Arthrex	1	ACP|ACP MAX|ACP MAX|ACP|ACP MAX|ACP|Angel|ACP|Angel|Angel	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
京都府|千春会千春会ハイパーサーミアクリニック	京都府	医療法人社団千春会  千春会ハイパーサーミアクリニック	Arthrex	1	ACP|ACP MAX|ACP MAX|ACP|ACP MAX|ACP|Angel|Angel	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
京都府|康静会伏見ウェルネスクリニック	京都府	医療法人社団康静会 伏見ウェルネスクリニック	ESTAR Technologies	1	MyCells	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
京都府|親和会京都木原病院	京都府	医療法人社団親和会 京都木原病院	ESTAR Technologies|Zimmer Biomet	2	APS|APS|GPS|GPS|APS|GPS|GPS|MyCells|GPS|MyCells	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
京都府|貴順会吉川病院	京都府	医療法人社団貴順会吉川病院	Arthrex	1	ACP	MANUAL_VERIFIED
京都府|順和会京都下鴨病院	京都府	医療法人社団順和会 京都下鴨病院	Zimmer Biomet|京セラ	2	APS|Condensia|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
