facility_key	prefecture	facility	mhlw_plan_codes	baseline_safe_resolved	source_operator	source_facility_name	source_products	inferred_manufacturer	match_type	confidence	source_address	source_url	already_mhlw_safe	already_manual_verified	is_new_candidate	normalized_key	existing_manufacturers	audit_status
京都府|医療法人藍整会なか整形外科京都西院リハビリテーションクリニック	京都府	医療法人藍整会 なか整形外科 京都西院リハビリテーションクリニック	03E2603014|03E2603015	NO	Zimmer Biomet	医療法人藍整会 なか整形外科 京都西院リハビリテーションクリニック	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒615-0012 京都府京都市右京区西院高山寺町13 西院阪急ビル3F	https://m.kansetsu-life.com/saisei/index.php	NO	NO	YES	京都府|藍整会なか整形外科京都西院リハビリテーションクリニック		NEW_MANUFACTURER_FACILITY
京都府|医療法人財団康生会たけだ膠原病リウマチクリニック	京都府	医療法人財団康生会 たけだ膠原病リウマチクリニック	03E2507006|03E2507007|03E2507008	NO	Arthrex	医療法人財団康生会　たけだ膠原病リウマチクリニック	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	京都府	https://seikei-saisei.jp/institution.html	NO	NO	YES	京都府|康生会たけだ膠原病リウマチクリニック		NEW_MANUFACTURER_FACILITY
兵庫県|藤田整形外科スポーツクリニック	兵庫県	藤田整形外科 スポーツクリニック	01E2506023|01E2506024	NO	Arthrex	藤田整形外科・スポーツクリニック	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	兵庫県	https://seikei-saisei.jp/institution.html	NO	NO	YES	兵庫県|藤田整形外科スポーツクリニック		NEW_MANUFACTURER_FACILITY
千葉県|医療法人社団オルソプラスむらた整形外科	千葉県	医療法人社団オルソプラス  むらた整形外科	01C2409051|01C2409052	NO	Arthrex	医療法人社団オルソプラス　むらた整形外科	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	千葉県	https://seikei-saisei.jp/institution.html	NO	NO	YES	千葉県|オルソプラスむらた整形外科		NEW_MANUFACTURER_FACILITY
千葉県|医療法人社団奏の杜整形外科	千葉県	医療法人社団奏の杜整形外科	01C2102007	NO	Arthrex	奏の杜整形外科	ACP-PRP	Arthrex	EXACT_LEGAL_STRIPPED	HIGH	千葉県	https://seikei-saisei.jp/institution.html	NO	NO	YES	千葉県|奏の杜整形外科		NEW_MANUFACTURER_FACILITY
千葉県|医療法人社団奏の杜整形外科	千葉県	医療法人社団奏の杜整形外科	01C2102007	NO	Zimmer Biomet	奏の杜整形外科	APS	Zimmer Biomet	EXACT_LEGAL_STRIPPED	HIGH	〒275-0026 千葉県習志野市谷津7丁目7-1 Loharu津田沼4階 ドクターズスクエア	https://m.kansetsu-life.com/saisei/index.php	NO	NO	YES	千葉県|奏の杜整形外科		NEW_MANUFACTURER_FACILITY
千葉県|医療法人社団明敬会重城病院	千葉県	医療法人社団明敬会 重城病院	03C2207033|03C2207034	NO	Zimmer Biomet	医療法人社団 明敬会 重城病院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒292-0003 千葉県木更津市万石341-1	https://m.kansetsu-life.com/saisei/index.php	NO	NO	YES	千葉県|明敬会重城病院		NEW_MANUFACTURER_FACILITY
千葉県|柏の葉キャンパス整形外科	千葉県	柏の葉キャンパス整形外科	03C2410007|03C2410034	NO	Arthrex	柏の葉キャンパス整形外科	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	千葉県	https://seikei-saisei.jp/institution.html	NO	NO	YES	千葉県|柏の葉キャンパス整形外科		NEW_MANUFACTURER_FACILITY
千葉県|順天堂大学医学部附属浦安病院	千葉県	順天堂大学医学部附属浦安病院	02C2109023|02C2109024	NO	Arthrex	順天堂大学医学部附属浦安病院	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	千葉県	https://seikei-saisei.jp/institution.html	NO	NO	YES	千葉県|順天堂大学医学部附属浦安病院		NEW_MANUFACTURER_FACILITY
埼玉県|医療法人社団南越谷病院	埼玉県	医療法人社団南越谷病院	01C2102010|01C2102011	NO	Arthrex	南越谷病院	ACP-PRP	Arthrex	EXACT_LEGAL_STRIPPED	HIGH	埼玉県	https://seikei-saisei.jp/institution.html	NO	NO	YES	埼玉県|南越谷病院		NEW_MANUFACTURER_FACILITY
