facility_key	prefecture	facility	mhlw_plan_codes	baseline_safe_resolved	source_operator	source_facility_name	source_products	inferred_manufacturer	match_type	confidence	source_address	source_url	already_mhlw_safe	already_manual_verified	is_new_candidate
埼玉県|医療法人社団武蔵野会TMGあさか医療センター	埼玉県	医療法人社団武蔵野会 TMGあさか医療センター	03C2407109	YES	Zimmer Biomet	医療法人社団武蔵野会 ＴＭＧあさか医療センター	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒351-0023 埼玉県朝霞市溝沼1340-1	https://m.kansetsu-life.com/saisei/index.php	YES	NO	NO
埼玉県|医療法人社団幸祥会東整形外科	埼玉県	医療法人社団幸祥会 東整形外科	02C2607073	YES	Zimmer Biomet	医療法人社団 幸祥会 東整形外科	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒337-0051 埼玉県さいたま市見沼区東大宮 5-34-25	https://m.kansetsu-life.com/saisei/index.php	YES	NO	NO
埼玉県|医療法人社団愛友会三郷中央総合病院	埼玉県	医療法人社団愛友会 三郷中央総合病院	03C2412018	YES	Zimmer Biomet	医療法人社団 愛友会 三郷中央総合病院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒341-8526 埼玉県三郷市中央4-5-1	https://m.kansetsu-life.com/saisei/index.php	YES	NO	NO
千葉県|医療法人社団奏の杜整形外科	千葉県	医療法人社団奏の杜整形外科	01C2102007	NO	Zimmer Biomet	奏の杜整形外科	APS	Zimmer Biomet	EXACT_LEGAL_STRIPPED	HIGH	〒275-0026 千葉県習志野市谷津7丁目7-1 Loharu津田沼4階 ドクターズスクエア	https://m.kansetsu-life.com/saisei/index.php	NO	NO	YES
千葉県|医療法人社団明敬会重城病院	千葉県	医療法人社団明敬会 重城病院	03C2207033|03C2207034	NO	Zimmer Biomet	医療法人社団 明敬会 重城病院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒292-0003 千葉県木更津市万石341-1	https://m.kansetsu-life.com/saisei/index.php	NO	NO	YES
千葉県|医療法人社団慈宏会まさき整形外科	千葉県	医療法人社団慈宏会 まさき整形外科	01C2505025|01C2505026	YES	Zimmer Biomet	医療法人社団慈宏会 まさき整形外科	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒272-0111 千葉県市川市妙典4-3-10 ベルメゾン 1F	https://m.kansetsu-life.com/saisei/index.php	YES	NO	NO
東京都|独立行政法人国立病院機構東京医療センター	東京都	独立行政法人国立病院機構東京医療センター	03C2603058|03C2603059	YES	Zimmer Biomet	独立行政法人国立病院機構 東京医療センター	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒152-8902 東京都目黒区東が丘2-5-1	https://m.kansetsu-life.com/saisei/index.php	YES	NO	NO
東京都|社会福祉法人白十字会東京白十字病院	東京都	社会福祉法人白十字会 東京白十字病院	03C2510039	YES	Zimmer Biomet	社会福祉法人白十字会 東京白十字病院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒189-0021 東京都東村山市諏訪町2-26-1	https://m.kansetsu-life.com/saisei/index.php	YES	NO	NO
新潟県|医療法人社団ibisこばり坂クリニック	新潟県	医療法人社団ibis こばり坂クリニック	01C2411010|01C2411011	YES	Zimmer Biomet	医療法人社団ibis こばり坂クリニック	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒950-2011 新潟県新潟市西区小針上山10-34	https://m.kansetsu-life.com/saisei/index.php	YES	NO	NO
山梨県|東甲府医院	山梨県	東甲府医院	01C2411014	NO	Zimmer Biomet	東甲府医院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒400-0803 山梨県甲府市桜井町299	https://m.kansetsu-life.com/saisei/index.php	NO	NO	YES
山梨県|独立行政法人地域医療機能推進機構山梨病院	山梨県	独立行政法人地域医療機能推進機構 山梨病院	02C2605091	NO	Zimmer Biomet	独立行政法人地域医療機能推進機構 山梨病院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒400-0025 山梨県甲府市朝日三丁目11-16	https://m.kansetsu-life.com/saisei/index.php	NO	NO	YES
長野県|佐久市立国保浅間総合病院	長野県	佐久市立国保浅間総合病院	03C2504072	YES	Zimmer Biomet	佐久市立国保 浅間総合病院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒385-8558 長野県佐久市岩村田1862-1	https://m.kansetsu-life.com/saisei/index.php	YES	NO	NO
長野県|社会医療法人栗山会飯田病院	長野県	社会医療法人栗山会飯田病院	01C2104001	YES	Zimmer Biomet	社会医療法人 栗山会 飯田病院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒395-8505 長野県飯田市大通1丁目15番地	https://m.kansetsu-life.com/saisei/index.php	YES	NO	NO
静岡県|医療法人社団平成会藤枝平成記念病院	静岡県	医療法人社団平成会 藤枝平成記念病院	01D2510006	YES	Zimmer Biomet	医療法人社団平成会 藤枝平成記念病院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒426-8662 静岡県藤枝市水上123番地1号	https://m.kansetsu-life.com/saisei/index.php	YES	NO	NO
京都府|医療法人藍整会なか整形外科京都西院リハビリテーションクリニック	京都府	医療法人藍整会 なか整形外科 京都西院リハビリテーションクリニック	03E2603014|03E2603015	NO	Zimmer Biomet	医療法人藍整会 なか整形外科 京都西院リハビリテーションクリニック	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒615-0012 京都府京都市右京区西院高山寺町13 西院阪急ビル3F	https://m.kansetsu-life.com/saisei/index.php	NO	NO	YES
大阪府|医療法人良花会整形外科とくはらクリニック	大阪府	医療法人良花会 整形外科とくはらクリニック	01E2004008|01E2004009	NO	Zimmer Biomet	医療法人良花会 整形外科とくはらクリニック	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒538-0052 大阪府大阪市鶴見区横堤3-6-40	https://m.kansetsu-life.com/saisei/index.php	NO	YES	NO
大阪府|医療法人再生会そばじまクリニック	大阪府	医療法人再生会 そばじまクリニック	01E2104007|01E2304028|02E2404043|03E2103014|03E2103016|03E2103018	YES	Zimmer Biomet	医療法人再生会 そばじまクリニック	PRP	Zimmer Biomet	EXACT_STRICT	REVIEW	〒577-0011 大阪府東大阪市荒本北2-2-6 クリニックコート東野1F・2F	https://m.kansetsu-life.com/saisei/index.php	YES	NO	NO
大阪府|たけうち整形外科リウマチ科	大阪府	たけうち整形外科リウマチ科	01E2101003	YES	Zimmer Biomet	たけうち整形外科リウマチ科	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒565-0862 大阪府吹田市津雲台5丁目11-1-1 グローバルビレッジ津雲台 つくもゲート3階	https://m.kansetsu-life.com/saisei/index.php	YES	NO	NO
大阪府|医療法人讃高会枚方東整形外科病院	大阪府	医療法人讃高会 枚方東整形外科病院	02E2507044|02E2507045	NO	Zimmer Biomet	医療法人讃高会 枚方東整形外科病院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒573-0126 大阪府枚方市津田西町1-37-8	https://m.kansetsu-life.com/saisei/index.php	NO	NO	YES
兵庫県|医療法人財団神戸海星病院	兵庫県	医療法人財団 神戸海星病院	02E2504009	NO	Zimmer Biomet	医療法人財団 神戸海星病院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒657-0068 兵庫県神戸市灘区篠原北町3丁目11番15号	https://m.kansetsu-life.com/saisei/index.php	NO	YES	NO
兵庫県|医療法人社団高遼会整形外科たかひろクリニック	兵庫県	医療法人社団高遼会 整形外科たかひろクリニック	01E2101025	YES	Zimmer Biomet	医療法人社団高遼会 整形外科 たかひろクリニック	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒663-8107 兵庫県西宮市瓦林町20番11号	https://m.kansetsu-life.com/saisei/index.php	YES	NO	NO
愛媛県|社会医療法人石川記念会HITO病院	愛媛県	社会医療法人石川記念会 HITO病院	03F2405001|03F2405002	YES	Zimmer Biomet	社会医療法人石川記念会 HITO病院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒799-0121 愛媛県四国中央市上分町788番地1	https://m.kansetsu-life.com/saisei/index.php	YES	NO	NO
福岡県|医療法人オアシス福岡志恩病院	福岡県	医療法人オアシス 福岡志恩病院	01G1909002	NO	Zimmer Biomet	医療法人オアシス 福岡志恩病院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒838-0101 福岡県小郡市美鈴が丘1-5-3	https://m.kansetsu-life.com/saisei/index.php	NO	YES	NO
佐賀県|佐賀県医療センター好生館	佐賀県	佐賀県医療センター好生館	01G2403007	YES	Zimmer Biomet	地方独立行政法人 佐賀県医療センター好生館	APS	Zimmer Biomet	EXACT_LEGAL_STRIPPED	HIGH	〒840-8571 佐賀県佐賀市嘉瀬町中原400	https://m.kansetsu-life.com/saisei/index.php	YES	NO	NO
大分県|医療法人恵愛会中村病院	大分県	医療法人恵愛会 中村病院	02G1911002	NO	Zimmer Biomet	医療法人恵愛会 中村病院	PRP	Zimmer Biomet	EXACT_STRICT	REVIEW	〒874-0937 大分県別府市秋葉町8番24号	https://m.kansetsu-life.com/saisei/index.php	NO	NO	YES
宮崎県|整形外科押領司病院	宮崎県	整形外科 押領司病院	01G2301006	NO	Zimmer Biomet	整形外科 押領司病院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒886-0004 宮崎県小林市細野162番地1	https://m.kansetsu-life.com/saisei/index.php	NO	YES	NO
