match_type,scope,kind,prefecture,facility,address,treatment,best_score,nearest_plan_id,nearest_facility,nearest_treatment,score,matched_plan_id,matched_facility,matched_treatment,document_urls
possible_missing,strong_msk,2,北海道,NTT東日本札幌病院,札幌市中央区南1条西15丁目,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,,,,,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/02A2606001/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/02A2606001/5/1
possible_missing,strong_msk,2,北海道,Revo. Clinic,札幌市中央区南4条西2丁目8-9 リディアビル7階,変形性関節症に対する自家脂肪由来幹細胞による治療,,,,,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03A2512001/5/0
possible_missing,strong_msk,2,北海道,"医療法人hokule'a 
fクリニックさっぽろ",札幌市南区中ノ沢1丁目12番20号,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,,,,,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01A2408002/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01A2408002/5/1
possible_missing,strong_msk,2,北海道,医療法人　五輪橋整形外科病院,札幌市南区川沿2条1丁目2番56号,多血小板血漿抽出液による関節症治療,,,,,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03A2110001/5/0
possible_missing,strong_msk,2,北海道,医療法人そえるて　奥山整形外科,旭川市緑が丘東3条1丁目12番33号,変形性関節症に対する多血小板血漿（ＰＲＰ）関節内投与療法,,,,,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01A2604001/5/0
possible_missing,strong_msk,2,北海道,医療法人スポキチ　スポキチクリニック,札幌市北区新琴似1条12丁目6-3,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,,,,,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01A2106001/5/0
possible_missing,strong_msk,2,北海道,医療法人リアルエイジ静哉会　Dクリニック札幌,札幌市中央区北4条西2-1-2　キタコートレードビル7F,慢性関節炎に対する自己脂肪由来間葉系幹細胞を用いた治療,,,,,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03A2605010/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/03A2605010/5/1
possible_missing,strong_msk,2,北海道,医療法人悠康会　函館整形外科クリニック,函館市石川町2-115,"多血小板血漿（PRP, platelet rich plasma）の投与による変形性関節症治療",,,,,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03A2210002/5/0
possible_missing,strong_msk,2,北海道,医療法人社団 福亀会 札幌中央整形外科クリニック,札幌市中央区北1条西4丁目2-2札幌ノースプラザ3F,変形性関節症に対する自家多血小板血漿関節内投与療法,,,,,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01A2402003/5/0
possible_missing,strong_msk,2,北海道,医療法人社団くわのみ会　桑園整形外科,札幌市中央区北8条西16丁目２８－３０,自家多血小板血漿による関節症治療,,,,,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/02A1911015/5/0
