plan_id,facility_id,prefecture,facility,category,treatment,status,match_score,document_url,amount,tax,unit,products,score,page,excerpt,qc_reason,error
P00775,F0525,三重県,社会医療法人峰和会 鈴鹿回生病院,第三種,自己多血小板血漿（PRP）を用いた外傷後治癒促進、疼痛軽減治療,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2506007/5/0,,,,,,,,no price found after text/OCR pass,FileDataError: Failed to open stream
P00751,F0468,岐阜県,Radiant Clinic,第三種,自家多血小板血漿（PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2506002/5/0,60000,税別,1部位,ACP,8,8,"費用(税別) PRP 2mL(ACP 使用) (1部位あたり)60,000 円 PRP 4mL(ACP 使用) (1部位あたり)100,000 円",line-level medium price context,
P00665,F0468,岐阜県,Radiant Clinic,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,AUTO,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2506001/5/0,60000,税別,1部位,ACP,8,8,"費用(税別) PRP 2mL(ACP 使用) (1部位あたり)60,000 円 PRP 4mL(ACP 使用) (1部位あたり)100,000 円",line-level medium price context,
P00752,F0469,岐阜県,公立学校共済組合 東海中央病院,第三種,自家多血小板血漿（PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2509003/5/0,77000,税込,2 回分,,9,,"(2) 本治療にかかる費用は、以下のとおりです。なお、費用は、治療に伴う診査、 PRP 作製のための採血にかかる費用、PRP 作製費用、注入にかかる費用の総 額となります。左右両側に投与する場合は、2 回分です。 PRP 1 回(1 部位) 77,000 円(税込) PRP 2 回分(2 部位同時) 132,000 円(税込) 公立学校共済組合 東海中央病院 説明書・同意書 【 カルテ用 】 総ページ数 10 ページ中 7 ページ目 Ver.2021.07 11. 試料等の保存及び廃棄の方法 患者さんから採取した血液と",,
P00752,F0469,岐阜県,公立学校共済組合 東海中央病院,第三種,自家多血小板血漿（PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2509003/5/0,132000,税込,2 回分,,9,,"診査、 PRP 作製のための採血にかかる費用、PRP 作製費用、注入にかかる費用の総 額となります。左右両側に投与する場合は、2 回分です。 PRP 1 回(1 部位) 77,000 円(税込) PRP 2 回分(2 部位同時) 132,000 円(税込) 公立学校共済組合 東海中央病院 説明書・同意書 【 カルテ用 】 総ページ数 10 ページ中 7 ページ目 Ver.2021.07 11. 試料等の保存及び廃棄の方法 患者さんから採取した血液と作製したPRP は、患者さんご自身の治療の みに使用します。ただし、症例検討や学会",,
P00668,F0470,岐阜県,医療法人ごとう整形外科,第二種,自己脂肪由来間葉系幹細胞を用いた関節痛、変形性関節症治療,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2006004/5/0,1500000,税別,,,11,5,"本治療は保険適用外であるため、治療にかかる費用全額をご自分でご負担いただきます。その 他、本治療を受けるために必要となった旅費、交通費などの全ての費用もご自分でご負担いただ きます。実際に必要となる費用については今回の治療は1,500,000 円(税抜)となります。 なお、脂肪の採取後や、細胞加工物の製造後に同意を撤回された場合など、同意を撤回される時 点までに費用が発生している場合は、発生した費用についてはあなたにご負担いただきますので",line-level strong price context,
P00669,F0471,岐阜県,医療法人社団豊正会 大垣中央病院,第二種,変形性関節症を対象とした自家多血小板血漿（PRP）注入療法,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2605005/5/0,70000,税込,1 回,,9,,"、健康保険が適用されない自由診療です。そのため、患者様の費用負担が 他の治療よりも高額になることがあります。当院において実施される本治療および本治 療に必要な検査などの費用は全額自己負担となります。 PRP 治療の提供価格(京セラCondensia システム使用) 1 回70,000 円(税込) ※患者様の症状によっては、治療を数回行うことがあります。治療前、または治療後の 状態から担当医師が判断し、患者様にお伝えしご相談させて頂きます。 ※治療内容・回数により1回あたりの費用が減額される場合がございます。施術する前 に詳細な説明をいたしますので、ご納得いただいた上で施術をお受けいただけます",,
P00670,F0472,岐阜県,多治見スマートクリニック,第二種,多血小板血漿（PRP）を用いた整形外科疾患に対する組織修復,QC,0.98,https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2311005/5/0,12000,税別,2回,,4,6,"2倍量のPRP治療により高い効果が期待できます(PRP投与 年2回) 部位 月額(税別) 年払(税別) 片膝 12,000円 136,800円 両膝 24,000円 273,600円 ◆コンプリートプラン(1年・4回接種)",price candidates remain ambiguous,
P00670,F0472,岐阜県,多治見スマートクリニック,第二種,多血小板血漿（PRP）を用いた整形外科疾患に対する組織修復,QC,0.98,https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2311005/5/0,24000,税別,4回,,4,6,"部位 月額(税別) 年払(税別) 片膝 12,000円 136,800円 両膝 24,000円 273,600円 ◆コンプリートプラン(1年・4回接種) 2倍量・年4回のPRP治療により最も効果が期待できます(PRP投与",price candidates remain ambiguous,
P00670,F0472,岐阜県,多治見スマートクリニック,第二種,多血小板血漿（PRP）を用いた整形外科疾患に対する組織修復,QC,0.98,https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2311005/5/0,24000,税別,4回,,4,6,"年4回) 部位 月額(税別) 年払(税別) 片膝 24,000円 273,600円 両膝 48,000円 547,200円 ※患者様の症状、その他の事情等により治療費が変動する場合があ",price candidates remain ambiguous,
