plan_id,mhlw_plan_code,v41_lane,facility_id,region,prefecture,facility,address,category,treatment,treatment_class,status,match_score,document_url,amount,tax,unit,products,makers,score,page,excerpt,qc_reason,error
V41_01E2605013,01E2605013,A,V41F298D5BDD7C,近畿,京都府,Clinique Haru Kyoto,京都市下京区烏丸通塩小路下る東塩小路町901番地 京都駅ビル内ホテルグランヴィア京都6階,第二種,変形性関節症に対する自己脂肪組織由来間葉系間質細胞投与療法,脂肪由来幹細胞,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605013/5/0,1430000,税込,1部位,,,6,10,"血液検査:14,300 円(注:3,300 円の初診料も込みの金額です) 【施術料(税込)】 1部位 : 1,430,000 円 2部位 : 2,090,000 円 【細胞保管料(税込)】",price candidates remain ambiguous,
V41_01E2605013,01E2605013,A,V41F298D5BDD7C,近畿,京都府,Clinique Haru Kyoto,京都市下京区烏丸通塩小路下る東塩小路町901番地 京都駅ビル内ホテルグランヴィア京都6階,第二種,変形性関節症に対する自己脂肪組織由来間葉系間質細胞投与療法,脂肪由来幹細胞,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605013/5/0,2090000,税込,1部位,,,5,10,"【施術料(税込)】 1部位 : 1,430,000 円 2部位 : 2,090,000 円 【細胞保管料(税込)】 年間保管料:110,000 円(1 年毎更新)",price candidates remain ambiguous,
V41_01E2605013,01E2605013,A,V41F298D5BDD7C,近畿,京都府,Clinique Haru Kyoto,京都市下京区烏丸通塩小路下る東塩小路町901番地 京都駅ビル内ホテルグランヴィア京都6階,第二種,変形性関節症に対する自己脂肪組織由来間葉系間質細胞投与療法,脂肪由来幹細胞,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605013/5/0,3300,税込,1部位,,,-5,10,"【診察料+血液検査(税込)】 診察料 : 3,300 円(診察のみの場合) 血液検査:14,300 円(注:3,300 円の初診料も込みの金額です) 【施術料(税込)】 1部位 : 1,430,000 円",price candidates remain ambiguous,
V41_01E2605013,01E2605013,A,V41F298D5BDD7C,近畿,京都府,Clinique Haru Kyoto,京都市下京区烏丸通塩小路下る東塩小路町901番地 京都駅ビル内ホテルグランヴィア京都6階,第二種,変形性関節症に対する自己脂肪組織由来間葉系間質細胞投与療法,脂肪由来幹細胞,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605013/5/0,14300,税込,1部位,,,-5,10,"【診察料+血液検査(税込)】 診察料 : 3,300 円(診察のみの場合) 血液検査:14,300 円(注:3,300 円の初診料も込みの金額です) 【施術料(税込)】 1部位 : 1,430,000 円",price candidates remain ambiguous,
V41_01E2605013,01E2605013,A,V41F298D5BDD7C,近畿,京都府,Clinique Haru Kyoto,京都市下京区烏丸通塩小路下る東塩小路町901番地 京都駅ビル内ホテルグランヴィア京都6階,第二種,変形性関節症に対する自己脂肪組織由来間葉系間質細胞投与療法,脂肪由来幹細胞,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605013/5/0,3300,税込,,,,-6,10,"す。 【診察料+血液検査(税込)】 診察料 : 3,300 円(診察のみの場合) 血液検査:14,300 円(注:3,300 円の初診料も込みの金額です) 【施術料(税込)】",price candidates remain ambiguous,
V41_01E2605013,01E2605013,A,V41F298D5BDD7C,近畿,京都府,Clinique Haru Kyoto,京都市下京区烏丸通塩小路下る東塩小路町901番地 京都駅ビル内ホテルグランヴィア京都6階,第二種,変形性関節症に対する自己脂肪組織由来間葉系間質細胞投与療法,脂肪由来幹細胞,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605013/5/0,110000,税込,,,,-9,10,"2部位 : 2,090,000 円 【細胞保管料(税込)】 年間保管料:110,000 円(1 年毎更新)",price candidates remain ambiguous,
V41_01E2605017,01E2605017,C,V41F298D5BDD7C,近畿,京都府,Clinique Haru Kyoto,京都市下京区烏丸通塩小路下る東塩小路町901番地  京都駅ビル内 ホテルグランヴィア京都6階,第二種,整形外科領域における外傷性疾患又は変性疾患による慢性疼痛緩和を目的とした自己脂肪組織由来間葉系間質細胞の静脈点滴治療,脂肪由来幹細胞,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605017/5/0,110000,税込,2 回,,,8,13,"2 回目以降:1,650,000 円 【細胞保管費用(税込)】 年間保管費用:110,000 円(1 年毎任意更新) ※上記費用につきましては組織採取日までに全額ご入金ください。 ※【細胞保管費用】に関しましては1年毎、任意更新、となります。",line-level medium price context,
V41_01E2605018,01E2605018,B,V41F298D5BDD7C,近畿,京都府,Clinique Haru Kyoto,京都市下京区烏丸通塩小路下る東塩小路町901番地 京都駅ビル内 ホテルグランヴィア京都6階,第二種,変形性関節症・関節炎に対する多血小板血漿(PRP)投与療法,PRP,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/0,49500,税込,1 回,,,5,9,"診察料 : 3,300 円(診察のみの場合) 【施術料】 1 回:49,500 円(税込)",price candidates remain ambiguous,
V41_01E2605018,01E2605018,B,V41F298D5BDD7C,近畿,京都府,Clinique Haru Kyoto,京都市下京区烏丸通塩小路下る東塩小路町901番地 京都駅ビル内 ホテルグランヴィア京都6階,第二種,変形性関節症・関節炎に対する多血小板血漿(PRP)投与療法,PRP,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/0,3300,税込,1 回,,,-6,9,"します。 【診察料+血液検査(税込)】 診察料 : 3,300 円(診察のみの場合) 【施術料】 1 回:49,500 円(税込)",price candidates remain ambiguous,
V41_03E2210008,03E2210008,D,V41F2814EACDE2,近畿,京都府,S clinic Kyoto,京都市下京区高辻大宮町103大宮高辻ビル4階,第三種,関節周囲炎に対する自家多血小板血漿(PRP)を利用した軟組織の再生医療,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2210008/5/0,100000,税別,,,,8,,"、皮下出血斑、神経損傷、感染が極めてまれに起きることがあります。 4.他の治療法との比較 PRP を使用する代わりに、動物由来の材料や人工的に作られた材料を用いる方法もありますが、PRPを使用す る方が感染やアレルギーの危険性が低くなります。 5.費用について PRPを使用した治療 100,000円(税抜き) 6.治療への同意と撤回 PRP を使用した治療に対する同意は、患者様の自由な判断に基づくものであり、いつでも自由に同意を撤回す ることができます。PRP を使用した治療に同意しなかったり、同意を撤回したりしても、決して不利益にはな らず、患者様の自由な判断で、本院の治療を継続されることができます。治療中に疑問を持った場",,
