plan_id,mhlw_plan_code,v41_lane,facility_id,prefecture,facility,category,treatment,treatment_class,status_source,status_normalized,postprocess_resolution,document_url,price_type,amount,amount_min,amount_max,tax,unit,products,makers,product_pair_method,postprocess_reason,score,page,excerpt,synthetic_postprocess
V41_01E2605013,01E2605013,A,V41F298D5BDD7C,京都府,Clinique Haru Kyoto,第二種,変形性関節症に対する自己脂肪組織由来間葉系間質細胞投与療法,脂肪由来幹細胞,QC,AUTO,treatment_prices_separated_from_ancillary_fees,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605013/5/0,point,1430000,,,税込,1部位,,,context_token,treatment_label_nearest,6,10,"血液検査:14,300 円(注:3,300 円の初診料も込みの金額です) 【施術料(税込)】 1部位 : 1,430,000 円 2部位 : 2,090,000 円 【細胞保管料(税込)】",False
V41_01E2605013,01E2605013,A,V41F298D5BDD7C,京都府,Clinique Haru Kyoto,第二種,変形性関節症に対する自己脂肪組織由来間葉系間質細胞投与療法,脂肪由来幹細胞,QC,AUTO,treatment_prices_separated_from_ancillary_fees,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605013/5/0,point,2090000,,,税込,1部位,,,context_token,treatment_label_nearest,5,10,"【施術料(税込)】 1部位 : 1,430,000 円 2部位 : 2,090,000 円 【細胞保管料(税込)】 年間保管料:110,000 円(1 年毎更新)",False
V41_01E2605013,01E2605013,A,V41F298D5BDD7C,京都府,Clinique Haru Kyoto,第二種,変形性関節症に対する自己脂肪組織由来間葉系間質細胞投与療法,脂肪由来幹細胞,QC,AUTO,treatment_prices_separated_from_ancillary_fees,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605013/5/0,point,2090000,,,税込,,,,context_token,treatment_label_nearest,0,10,"血液検査:14,300 円(注:3,300 円の初診料も込みの金額です) 【施術料(税込)】 1部位 : 1,430,000 円 2部位 : 2,090,000 円 【細胞保管料(税込)】",True
V41_01E2605013,01E2605013,A,V41F298D5BDD7C,京都府,Clinique Haru Kyoto,第二種,変形性関節症に対する自己脂肪組織由来間葉系間質細胞投与療法,脂肪由来幹細胞,QC,AUTO,treatment_prices_separated_from_ancillary_fees,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605013/5/0,point,1430000,,,税込,,,,context_token,treatment_label_nearest,0,10,"【施術料(税込)】 1部位 : 1,430,000 円 2部位 : 2,090,000 円 【細胞保管料(税込)】 年間保管料:110,000 円(1 年毎更新)",True
V41_01E2605017,01E2605017,C,V41F298D5BDD7C,京都府,Clinique Haru Kyoto,第二種,整形外科領域における外傷性疾患又は変性疾患による慢性疼痛緩和を目的とした自己脂肪組織由来間葉系間質細胞の静脈点滴治療,脂肪由来幹細胞,AUTO,AUTO,source_status_retained,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605017/5/0,point,110000,,,税込,2 回,,,context_token,unclear,8,13,"2 回目以降:1,650,000 円 【細胞保管費用(税込)】 年間保管費用:110,000 円(1 年毎任意更新) ※上記費用につきましては組織採取日までに全額ご入金ください。 ※【細胞保管費用】に関しましては1年毎、任意更新、となります。",False
V41_01E2605018,01E2605018,B,V41F298D5BDD7C,京都府,Clinique Haru Kyoto,第二種,変形性関節症・関節炎に対する多血小板血漿(PRP)投与療法,PRP,QC,AUTO,treatment_prices_separated_from_ancillary_fees,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/0,point,49500,,,税込,1 回,,,context_token,treatment_label_nearest,5,9,"診察料 : 3,300 円(診察のみの場合) 【施術料】 1 回:49,500 円(税込)",False
V41_01E2605018,01E2605018,B,V41F298D5BDD7C,京都府,Clinique Haru Kyoto,第二種,変形性関節症・関節炎に対する多血小板血漿(PRP)投与療法,PRP,QC,AUTO,treatment_prices_separated_from_ancillary_fees,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/0,point,49500,,,税込,,,,context_token,treatment_label_nearest,0,9,"します。 【診察料+血液検査(税込)】 診察料 : 3,300 円(診察のみの場合) 【施術料】 1 回:49,500 円(税込)",True
V41_03E2210008,03E2210008,D,V41F2814EACDE2,京都府,S clinic Kyoto,第三種,関節周囲炎に対する自家多血小板血漿(PRP)を利用した軟組織の再生医療,PRP,AUTO,AUTO,source_status_retained,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2210008/5/0,point,100000,,,税別,,,,context_token,treatment_label_nearest,8,,"、皮下出血斑、神経損傷、感染が極めてまれに起きることがあります。 4.他の治療法との比較 PRP を使用する代わりに、動物由来の材料や人工的に作られた材料を用いる方法もありますが、PRPを使用す る方が感染やアレルギーの危険性が低くなります。 5.費用について PRPを使用した治療 100,000円(税抜き) 6.治療への同意と撤回 PRP を使用した治療に対する同意は、患者様の自由な判断に基づくものであり、いつでも自由に同意を撤回す ることができます。PRP を使用した治療に同意しなかったり、同意を撤回したりしても、決して不利益にはな らず、患者様の自由な判断で、本院の治療を継続されることができます。治療中に疑問を持った場",False
V41_01E2307004,01E2307004,A,V41FCF3E4213B5,京都府,医療法人いちまる整形外科クリニック,第三種,多血小板血漿を用いた整形外科疾患に対する組織修復治療,PRP,AUTO,AUTO,source_status_retained,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2307004/5/0,point,55000,,,不明,,,,context_token,treatment_label_nearest,13,9,"PRP 投与料金: ・治療前診断料 11,000 円 ・PRP 療法実施費用 55,000 円 *キャンセル規定について ・治療当日の診察前",False
V41_01E2506011,01E2506011,B,V41F5062DFC89F,京都府,医療法人京都翔医会 西京都病院,第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_treatment_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2506011/5/0,point,99000,,,不明,,ACP,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,6,12,"ACP-PRP ダブルショット 40 億個 99,000 円 HD-PRP(Angel の場合)を両ひざなど2 部位に投与する場合の費用は 治療の種類",False
V41_01E2506011,01E2506011,B,V41F5062DFC89F,京都府,医療法人京都翔医会 西京都病院,第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_treatment_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2506011/5/0,point,330000,,,不明,,Angel,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,6,12,"HD-PRP(Angel の場合) 150 億個 330,000 円 ACP-PRP は効果を高めるため、2 倍量1 度に投与することが可能です。その場合の 費用は以下の通りです。",False
V41_01E2506011,01E2506011,B,V41F5062DFC89F,京都府,医療法人京都翔医会 西京都病院,第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_treatment_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2506011/5/0,point,55000,,,不明,,ACP,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,2,12,"ACP-PRP 20 億個 55,000 円 HD-PRP(ACP MAX の場合) 90 億個",False
V41_01E2506011,01E2506011,B,V41F5062DFC89F,京都府,医療法人京都翔医会 西京都病院,第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_treatment_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2506011/5/0,point,209000,,,不明,,ACP MAX,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,2,12,"HD-PRP(ACP MAX の場合) 90 億個 209,000 円 HD-PRP(Angel の場合) 150 億個",False
V41_01E2506011,01E2506011,B,V41F5062DFC89F,京都府,医療法人京都翔医会 西京都病院,第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_treatment_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2506011/5/0,point,385000,,,不明,,,,context_token,treatment_label_nearest,2,12,"HD-PRP(2 部位) 150 億個 385,000 円 治療終了後も定期的な受診をお願いしております。 本治療は医療費控除の対象となる可能性があります。詳細は国税庁や税理士にご確",False
V41_03E2601002,03E2601002,C,V41FC3F967088F,京都府,"医療法人社団千春会
千春会ハイパーサーミアクリニック",第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_product_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2601002/5/0,point,704000,,,不明,1回,Angel,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,5,7,"1回 374,000 円 Angel 1回 704,000 円 (3) 採血を開始してからのキャンセルについては、キャンセル費用をいただ きます。",False
V41_03E2601002,03E2601002,C,V41FC3F967088F,京都府,"医療法人社団千春会
千春会ハイパーサーミアクリニック",第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_product_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2601002/5/0,point,88000,,,不明,片側,ACP,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,4,7,"PRP 片側 ACP 1回(1部位) 88,000 円 ACP MAX 1回(1部位) 187,000 円",False
V41_03E2601002,03E2601002,C,V41FC3F967088F,京都府,"医療法人社団千春会
千春会ハイパーサーミアクリニック",第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_product_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2601002/5/0,point,187000,,,不明,1回(1部位),ACP MAX,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,4,7,"1回(1部位) 88,000 円 ACP MAX 1回(1部位) 187,000 円 Angel 1回(1部位) 352,000 円",False
V41_03E2601002,03E2601002,C,V41FC3F967088F,京都府,"医療法人社団千春会
千春会ハイパーサーミアクリニック",第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_product_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2601002/5/0,point,352000,,,不明,1回(1部位),Angel,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,4,7,"1回(1部位) 187,000 円 Angel 1回(1部位) 352,000 円 PRP 両側 ACP MAX",False
