plan_id,facility,prefecture,treatment_class,document_index,source_url,amount,tax,score,page,line,excerpt
V41_01C2404039,医療法人ネオポリス診療所 新宿皮フ科,東京都,脂肪由来幹細胞,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2404039/5/2,350000,税込,4,10,35 万円,投与細胞数 費用(税込み) 0.5 億 35 万円 1 億 70 万円 2 億
V41_01C2404039,医療法人ネオポリス診療所 新宿皮フ科,東京都,脂肪由来幹細胞,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2404039/5/2,700000,不明,0,10,70 万円,0.5 億 35 万円 1 億 70 万円 2 億 140 万円 3 億
V41_01C2404039,医療法人ネオポリス診療所 新宿皮フ科,東京都,脂肪由来幹細胞,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2404039/5/2,1400000,不明,0,10,140 万円,1 億 70 万円 2 億 140 万円 3 億 210 万円 本治療を開始する前、あるいは途中で中止される場合においても、脂肪組織採取後は、お支払いただいた
V41_01C2404039,医療法人ネオポリス診療所 新宿皮フ科,東京都,脂肪由来幹細胞,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2404039/5/2,2100000,不明,-1,10,210 万円,2 億 140 万円 3 億 210 万円 本治療を開始する前、あるいは途中で中止される場合においても、脂肪組織採取後は、お支払いただいた 費用の一部は返還できませんのであらかじめご了承ください(本治療では、脂肪組織採取後に直ちに移送お よび細胞の培養を行うため、以下の返金の規定に沿って対応いたします)。
V41_01C2404043,医療法人ネオポリス診療所 新宿皮フ科,東京都,脂肪由来幹細胞,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2404043/5/1,350000,税込,4,10,35 万円,投与細胞数 費用(税込み) 0.5 億 35 万円 1 億 70 万円 2 億
V41_01C2404043,医療法人ネオポリス診療所 新宿皮フ科,東京都,脂肪由来幹細胞,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2404043/5/1,700000,不明,0,10,70 万円,0.5 億 35 万円 1 億 70 万円 2 億 140 万円 3 億
V41_01C2404043,医療法人ネオポリス診療所 新宿皮フ科,東京都,脂肪由来幹細胞,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2404043/5/1,1400000,不明,0,10,140 万円,1 億 70 万円 2 億 140 万円 3 億 210 万円 本治療を開始する前、あるいは途中で中止される場合においても、脂肪組織採取後は、お支払いただいた
V41_01C2404043,医療法人ネオポリス診療所 新宿皮フ科,東京都,脂肪由来幹細胞,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2404043/5/1,2100000,不明,-1,10,210 万円,2 億 140 万円 3 億 210 万円 本治療を開始する前、あるいは途中で中止される場合においても、脂肪組織採取後は、お支払いただいた 費用の一部は返還できませんのであらかじめご了承ください(本治療では、脂肪組織採取後に直ちに移送お よび細胞の培養を行うため、以下の返金の規定に沿って対応いたします)。
V41_01C2509020,THE HUNDRED,東京都,脂肪由来幹細胞,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2509020/5/1,110000,不明,2,1,"110,000 円","ヒト自己脂肪組織由来間葉系幹細胞採取及び投与 3,300,000 円 細胞保管費用(年間) 110,000 円 治療費のお支払いについて ・ 医師によるカウンセリングを受け、同意書にご署名いただきましたら、予約金として治療費用全額を事前に お支払いいただきます。"
V41_01C2509020,THE HUNDRED,東京都,脂肪由来幹細胞,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2509020/5/1,3300000,不明,2,1,"3,300,000 円","診察料 11,000 円 ヒト自己脂肪組織由来間葉系幹細胞採取及び投与 3,300,000 円 細胞保管費用(年間) 110,000 円 治療費のお支払いについて"
V41_01D2603004,HIME CLINIC,愛知県,PRP,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2603004/5/2,1000000,税込,12,10,"PRP 筋肉、腱、靭帯への治療 2 回投与 1,000,000 円(税込)","本治療は自由診療※となり、健康保険が適用にならず、本来健康保険が適用される治療も含 め、すべて全額自己負担となります。 施術費用は下記の通りとなります。 PRP 筋肉、腱、靭帯への治療 2 回投与 1,000,000 円(税込) PRP 筋肉、腱、靭帯への治療 4 回投与 1,800,000 円(税込) (標準的な治療費用。採血及び上記投与回数分の費用を含む) ・ 治療回数は症状及び治療内容により異なるため、担当医師より患者様に最適な治療回数"
V41_01D2603004,HIME CLINIC,愛知県,PRP,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2603004/5/2,1800000,税込,12,10,"PRP 筋肉、腱、靭帯への治療 4 回投与 1,800,000 円(税込)","め、すべて全額自己負担となります。 施術費用は下記の通りとなります。 PRP 筋肉、腱、靭帯への治療 2 回投与 1,000,000 円(税込) PRP 筋肉、腱、靭帯への治療 4 回投与 1,800,000 円(税込) (標準的な治療費用。採血及び上記投与回数分の費用を含む) ・ 治療回数は症状及び治療内容により異なるため、担当医師より患者様に最適な治療回数 をご説明します。治療間隔については症状を見ながら決めていきますが、原則として既"
V41_01E2111002,医療法人神明会　印どうメディカルクリニック,大阪府,PRP,2,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2111002/5/2,33000,税込,8,4,"き、33,000 円(税込)となります。","8. 治療にかかる費用について この治療は、健康保険が適用されない自由診療です。そのため、患者様の費用負担が 他の治療よりも高額になることがあります。Condensia による施術料は1 キットにつ き、33,000 円(税込)となります。 今回の療法での具体的な費用は、 キット × 33,000 円(税込) = 円(税込) ご負担いただきます。ご不明な点は医師・スタッフにお尋ねください。"
