plan_id,facility,prefecture,treatment_class,rescue_status,source_label,source_url,amount,tax,unit,score,line,excerpt
V41_02C2601085,医療法人社団　順徳会　下総中山整形外科クリニック,千葉県,脂肪由来幹細胞,NO_PRICE,資料2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601085/5/1,500000,税別,1回,6,55万円(税抜50万円),費用 1関節1回投与 55万円(税抜50万円) 2関節1回投与 77万円(税抜70万円)
V41_02C2601085,医療法人社団　順徳会　下総中山整形外科クリニック,千葉県,脂肪由来幹細胞,NO_PRICE,資料2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601085/5/1,550000,税別,1回,6,55万円(税抜50万円),費用 1関節1回投与 55万円(税抜50万円) 2関節1回投与 77万円(税抜70万円)
V41_02C2601085,医療法人社団　順徳会　下総中山整形外科クリニック,千葉県,脂肪由来幹細胞,NO_PRICE,資料2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601085/5/1,700000,税別,1回,2,77万円(税抜70万円),55万円(税抜50万円) 2関節1回投与 77万円(税抜70万円) 1関節2回投与 77万円(税抜70万円)
V41_02C2601085,医療法人社団　順徳会　下総中山整形外科クリニック,千葉県,脂肪由来幹細胞,NO_PRICE,資料2,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601085/5/1,770000,税別,1回,2,77万円(税抜70万円),55万円(税抜50万円) 2関節1回投与 77万円(税抜70万円) 1関節2回投与 77万円(税抜70万円)
V41_02C2601086,医療法人社団　順徳会　下総中山整形外科クリニック,千葉県,PRP,STRONG,資料3,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601086/5/2,55000,税別,両側,13,"PRPを用いた投与1回分(1部位) 55,000円(税抜50,000","のPRPを製造いたします。両側(左右)同時に投与する場合は、投 与2回分となります。 PRPを用いた投与1回分(1部位) 55,000円(税抜50,000 円) (別途、検査費用をご負担いただきます。)"
V41_02C2601087,医療法人社団　順徳会　下総中山整形外科クリニック,千葉県,PRP,STRONG,資料3,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601087/5/2,55000,税別,3回分,13,"PRPを用いた投与1回分(1部位) 55,000円(税抜 50,000","(60mL)につき、投与3回分(各投与約2mL、最大で約6mL)の PRPを製造いたします。 PRPを用いた投与1回分(1部位) 55,000円(税抜 50,000 円) (別途、検査費用をご負担いただきます。)"
V41_02E2509003,社会医療法人黎明会　北出病院,和歌山県,脂肪由来幹細胞,NO_PRICE,資料1,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2509003/5/0,660000,不明,2回,0,"660,000円","880,000円 2回目金額 660,000円 1回目金額 1,210,000円"
V41_02E2509003,社会医療法人黎明会　北出病院,和歌山県,脂肪由来幹細胞,NO_PRICE,資料1,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2509003/5/0,880000,不明,1回,0,"880,000円","1回目金額 880,000円 2回目金額 660,000円"
V41_02E2509003,社会医療法人黎明会　北出病院,和歌山県,脂肪由来幹細胞,NO_PRICE,資料1,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2509003/5/0,1210000,不明,1回,0,"1,210,000円","660,000円 1回目金額 1,210,000円 2回目金額 880,000円"
V41_02E2509003,社会医療法人黎明会　北出病院,和歌山県,脂肪由来幹細胞,NO_PRICE,資料1,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2509003/5/0,1320000,不明,1回,0,"1,320,000円","880,000円 1回目金額 1,320,000円 2回目金額 0円"
V41_02E2509003,社会医療法人黎明会　北出病院,和歌山県,脂肪由来幹細胞,NO_PRICE,資料1,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2509003/5/0,1760000,不明,1回,0,"1,760,000円","0円 1回目金額 1,760,000円 2回目金額 0円"
