plan_id	mhlw_plan_code	facility_id_source	prefecture	facility	address	category	treatment	treatment_class	price_status	evidence_url	v41_lane	scope_status
V41_01E2605013	01E2605013	V41F298D5BDD7C	京都府	Clinique Haru Kyoto	京都市下京区烏丸通塩小路下る東塩小路町901番地 京都駅ビル内ホテルグランヴィア京都6階	第二種	変形性関節症に対する自己脂肪組織由来間葉系間質細胞投与療法	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605013/5/0	A	IN_SCOPE
V41_01E2605017	01E2605017	V41F298D5BDD7C	京都府	Clinique Haru Kyoto	京都市下京区烏丸通塩小路下る東塩小路町901番地  京都駅ビル内 ホテルグランヴィア京都6階	第二種	整形外科領域における外傷性疾患又は変性疾患による慢性疼痛緩和を目的とした自己脂肪組織由来間葉系間質細胞の静脈点滴治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605017/5/0	C	IN_SCOPE
V41_01E2605018	01E2605018	V41F298D5BDD7C	京都府	Clinique Haru Kyoto	京都市下京区烏丸通塩小路下る東塩小路町901番地 京都駅ビル内 ホテルグランヴィア京都6階	第二種	変形性関節症・関節炎に対する多血小板血漿(PRP)投与療法	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/0	B	IN_SCOPE
V41_03E2210008	03E2210008	V41F2814EACDE2	京都府	S clinic Kyoto	京都市下京区高辻大宮町103大宮高辻ビル4階	第三種	関節周囲炎に対する自家多血小板血漿(PRP)を利用した軟組織の再生医療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2210008/5/0	D	IN_SCOPE
V41_01E2307004	01E2307004	V41FCF3E4213B5	京都府	医療法人いちまる整形外科クリニック	長岡京市長岡2丁目1番32 グランジェ長岡京1F	第三種	多血小板血漿を用いた整形外科疾患に対する組織修復治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2307004/5/0	A	IN_SCOPE
V41_01E2506011	01E2506011	V41F5062DFC89F	京都府	医療法人京都翔医会 西京都病院	京都市西京区桂畑ヶ田町175番地	第三種	自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2506011/5/0	B	IN_SCOPE
V41_03E2601002	03E2601002	V41FC3F967088F	京都府	医療法人社団千春会  千春会ハイパーサーミアクリニック	長岡京市神足2丁目3-1 バンビオ1番館7階	第三種	自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2601002/5/0	C	IN_SCOPE
V41_01E2403019	01E2403019	V41FE5FC338D8F	京都府	医療法人社団蒼樹会　山本整形外科	京都市伏見区竹田七瀬川町86-8	第三種	多血小板血漿を用いた整形外科領域（関節腔内への投与を除く）の治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2403019/5/0	D	IN_SCOPE
V41_01E2605002	01E2605002	V41F76A2E48646	京都府	医療法人社団親和会 京都木原病院	京都市南区西九条春日町5-1	第三種	四肢の筋・腱・靱帯及びその付着部の傷害を対象とした自家多血小板血漿（PRP）注入療法	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605002/5/0	A	IN_SCOPE
V41_02E2306012	02E2306012	V41F6F203D8D1C	京都府	医療法人社団貴順会吉川病院	京都市左京区聖護院山王町1番地	第三種	自家多血小板血漿（Platelet-rich plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2306012/5/0	B	IN_SCOPE
