mhlw_plan_code	amount	amount_min	amount_max	tax	unit	product	maker
01E2605013	1430000			税込	1部位		
01E2605013	2090000			税込	1部位		
01E2605018	49500			税込	1 回		
03E2210008	100000			税別			
01E2307004	55000			不明			
01E2506011	99000			不明		ACP	Arthrex
01E2506011	330000			不明		Angel	Arthrex
01E2506011	55000			不明		ACP	Arthrex
01E2506011	209000			不明		ACP MAX	Arthrex
01E2506011	385000			不明			
03E2601002	704000			不明	1回	Angel	Arthrex
03E2601002	88000			不明	片側	ACP	Arthrex
03E2601002	187000			不明	1回(1部位)	ACP MAX	Arthrex
03E2601002	352000			不明	1回(1部位)	Angel	Arthrex
03E2601002	374000			不明	両側	ACP MAX	Arthrex
01E2403019	165000			税込			
01E2605002	80000			不明	1回	MyCells	MyCells系
01E2605002	160000			不明	一回	GPS	Zimmer Biomet
02E2306012	33000			税込	1 回		
02E2407035	40000			税別		Condensia	京セラ
02E2407035	50000			税別	1 回	Condensia	京セラ
02E2407035	80000			税別		GPS	Zimmer Biomet
02E2407035	100000			税別	1 回	GPS	Zimmer Biomet
03E2603014	55000			税込			
03E2603015	33000			税込			
02E2505009	3300000			税込	1回		
03E2407009	1650000			税込			
03E2507006	1195000			税込	片膝・培養脂肪幹細胞 約3,000万個	培養脂肪由来幹細胞	
03E2507006	1587500			税込	片膝・培養脂肪幹細胞 約1億個	培養脂肪由来幹細胞	
03E2507006	1735000			税込	両膝同時・約5,000万個ずつ	培養脂肪由来幹細胞	
03E2507007	55000			税込	2 回分		
03E2507007	150000			税込	2 回分		
03E2507008	50000			税込	2 回分		
03E2507008	135000			税込	2 回分		
01G2108005	30000			税別	スモールスピッツ約10ml・1本	PRP	
01G2108005	40000			税別	ラージスピッツ約20ml・1本	PRP	
01G2403006	100000			税別	1回	GPS	Zimmer Biomet
01E2603017	1200000			不明			
01E2603017	1350000			不明			
01E2603017	1800000			不明			
01E2603017	2200000			不明			
01E2601009	30000			税込	1 回	Condensia	京セラ
01E2601009	40000			税込	1 回	Condensia	京セラ
01E2604001	55000			税込	1 回	Condensia	京セラ
01E2603008	1000000			税別	約3,000万個×1回分	脂肪由来幹細胞	
01E2603008	1100000			税別	約5,000万個×1回分	脂肪由来幹細胞	
01E2603008	1500000			税別	約1億個×1回分	脂肪由来幹細胞	
01E2603008	2000000			税別	約3,000万個×3回分	脂肪由来幹細胞	
01E2603008	2300000			税別	約2億個×1回分（1関節）	脂肪由来幹細胞	
01E2603008	2300000			税別	約1億個×2回分（2関節）	脂肪由来幹細胞	
01E2603008	2500000			税別	約1億個×2回分	脂肪由来幹細胞	
01E2603009	50000			税込		ACP	Arthrex
01E2603009	45000			税込		Condensia	京セラ
01E2603009	330000			不明		APS	Zimmer Biomet
01E2603009	110000			不明		GPS	Zimmer Biomet
01E2603009	149600			不明		ACP MAX	Arthrex
01E2603010	50000			税込		ACP	Arthrex
01E2603010	45000			税込		Condensia	京セラ
01E2603010	330000			不明		APS	Zimmer Biomet
01E2603010	110000			不明		GPS	Zimmer Biomet
01E2603010	149600			不明		ACP MAX	Arthrex
01E2402021	50000			税別	1回		
01E2402024	250000			税込	2 回分		
01E2402024	300000			税込	2 回分		
03E2409010	90000			税別	1 回		
01E2101022	30000			税別	1回		
01E2101022	40000			税別	1回		
03E2509015	70000			税込			
03E2607007	77000			税込		Condensia	京セラ
03E2607007	220000			税込		GPS	Zimmer Biomet
03E2607007	330000			税込		APS	Zimmer Biomet
01E2407013	88000			税込		Condensia	京セラ
01E2407013	99000			税込		ACP	Arthrex
01E2407013	110000			税込		GPS	Zimmer Biomet
01E2407013	308000			税込		APS	Zimmer Biomet
03E2404005	75000			税込		Condensia	京セラ
03E2404005	110000			税込		GPS	Zimmer Biomet
03E2402001	55000			税込	1回	MyCells	MyCells系
03E2402001	110000			税込	1回	GPS	Zimmer Biomet
03E2402001	330000			税込	1回	APS	Zimmer Biomet
01E2503026	55000			税込		ACP	Arthrex
01E2503026	198000			税込		ACP MAX	Arthrex
01E2503026	154000			不明		ACP	Arthrex
01E2503026	297000			不明		ACP MAX	Arthrex
01E2303011	110000			税込		GPS	Zimmer Biomet
01E1909025	100000			不明		GPS	Zimmer Biomet
02E2302006	90000			不明		GPS	Zimmer Biomet
01E2109006	33000			税込	2 回分		
02E2504009	90000			税込			
02E2504009	110000			税込			
01E2605011	110000			税込			
01E2511015	44000			税込	1 回		
02E1906017	28000			不明			
01E2005009	40000			税別	1回		
01E2508015	350000			不明	両側	Angel	Arthrex
01E2508015	160000			不明	片側	ACP MAX	Arthrex
01E2508015	250000			不明	片側	Angel	Arthrex
01E2508015	50000			不明		ACP	Arthrex
01E2508016	350000			不明	両側	Angel	Arthrex
01E2508016	160000			不明	片側	ACP MAX	Arthrex
01E2508016	250000			不明	片側	Angel	Arthrex
01E2508016	50000			不明		ACP	Arthrex
01E2506024	27500			税込	2 回分		
01A2603002	2200000			税込			
02A2605003	1870000			税込	1回		
01A2312001	990000			税込	幹細胞2,500万個・1関節	脂肪由来幹細胞	
01A2312001	1430000			税込	幹細胞5,000万個・1関節	脂肪由来幹細胞	
01A2312001	1980000			税込	幹細胞1億個・1関節	脂肪由来幹細胞	
