prefecture	facility	manufacturer	product	evidence_type	evidence_url	note
岩手県	いわてスポーツ・整形外科クリニック	Arthrex	ACP-PRP	MANUFACTURER_OFFICIAL_LOCATOR	https://seikei-saisei.jp/institution.html	Manufacturer-operated Arthrex Japan locator lists facility for ACP-PRP/HD-PRP.
埼玉県	医療法人社団南越谷病院	Arthrex	ACP-PRP	MANUFACTURER_OFFICIAL_LOCATOR	https://seikei-saisei.jp/institution.html	Manufacturer-operated Arthrex Japan locator lists facility for ACP-PRP/HD-PRP.
千葉県	順天堂大学医学部附属浦安病院	Arthrex	ACP-PRP	MANUFACTURER_OFFICIAL_LOCATOR	https://seikei-saisei.jp/institution.html	Manufacturer-operated Arthrex Japan locator lists facility for ACP-PRP/HD-PRP.
千葉県	医療法人社団奏の杜整形外科	Arthrex	ACP-PRP	MANUFACTURER_OFFICIAL_LOCATOR	https://seikei-saisei.jp/institution.html	Manufacturer-operated Arthrex Japan locator lists facility for ACP-PRP/HD-PRP.
千葉県	柏の葉キャンパス整形外科	Arthrex	ACP-PRP	MANUFACTURER_OFFICIAL_LOCATOR	https://seikei-saisei.jp/institution.html	Manufacturer-operated Arthrex Japan locator lists facility for ACP-PRP/HD-PRP.
千葉県	医療法人社団オルソプラス  むらた整形外科	Arthrex	ACP-PRP	MANUFACTURER_OFFICIAL_LOCATOR	https://seikei-saisei.jp/institution.html	Manufacturer-operated Arthrex Japan locator lists facility for ACP-PRP/HD-PRP.
群馬県	慶友整形外科クリニック	Arthrex	ACP-PRP	MANUFACTURER_OFFICIAL_LOCATOR	https://seikei-saisei.jp/institution.html	Manufacturer-operated Arthrex Japan locator lists facility for ACP-PRP/HD-PRP.
神奈川県	ほんだ整形外科クリニック	Arthrex	ACP-PRP	MANUFACTURER_OFFICIAL_LOCATOR	https://seikei-saisei.jp/institution.html	Manufacturer-operated Arthrex Japan locator lists facility for ACP-PRP/HD-PRP.
神奈川県	医療法人横浜未来ヘルスケアシステム 戸塚共立第2病院	Arthrex	ACP-PRP	MANUFACTURER_OFFICIAL_LOCATOR	https://seikei-saisei.jp/institution.html	Manufacturer-operated Arthrex Japan locator lists facility for ACP-PRP/HD-PRP.
東京都	順天堂大学医学部附属練馬病院	Arthrex	ACP-PRP	MANUFACTURER_OFFICIAL_LOCATOR	https://seikei-saisei.jp/institution.html	Manufacturer-operated Arthrex Japan locator lists facility for ACP-PRP/HD-PRP.
