facility_id	prefecture	facility	status	product	manufacturer	match_type	evidence_type	evidence_url	note
B09-01	兵庫県	たちはら整形外科・肩とスポーツのクリニック	CONFIRMED_NEW	ACP-PRP	Arthrex	FUZZY_PUNCTUATION_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists たちはら整形外科•肩とスポーツのクリニック with ACP-PRP; punctuation-only name variation and unique prefecture match.
B09-02	宮崎県	くもん整形外科 スポーツ・骨関節クリニック	CONFIRMED_NEW	ACP-PRP	Arthrex	CONTAINS_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists くもん整形外科 with ACP-PRP; unique Miyazaki match to current MHLW facility.
B09-03	広島県	医療法人社団成和会 うたのはら整形外科クリニック	CONFIRMED_NEW	ACP-PRP	Arthrex	LEGAL_PREFIX_STRIPPED_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists うたのはら整形外科クリニック with ACP-PRP; unique Hiroshima match.
B09-04	広島県	医療法人龍樹会 池田整形外科リハビリテーションクリニック	CONFIRMED_NEW	APS	Zimmer Biomet	ADDRESS_EXACT	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://m.kansetsu-life.com/saisei/index.php	Zimmer Biomet locator lists APS and address 〒732-0014 広島県広島市東区戸坂大上4丁目29番13号, matching current MHLW facility address.
B09-05	香川県	香川県厚生農業協同組合連合会 屋島総合病院	CONFIRMED_NEW	ACP-PRP	Arthrex	LEGAL_PREFIX_STRIPPED_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists 屋島総合病院 with ACP-PRP; unique Kagawa match.
B09-06	滋賀県	一般社団法人スピナレピオス 淡海せぼねクリニック	CONFIRMED_NEW	ACP-PRP	Arthrex	LEGAL_PREFIX_STRIPPED_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists 淡海せぼねクリニック with ACP-PRP; unique Shiga match.
B09-07	滋賀県	医療法人翠蓮会 とがの整形外科クリニック	CONFIRMED_NEW	ACP-PRP	Arthrex	LEGAL_PREFIX_STRIPPED_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists とがの整形外科クリニック with ACP-PRP; unique Shiga match.
B09-08	鹿児島県	医療法人吉祥会 吉井整形外科内科中央病院	CONFIRMED_NEW	ACP-PRP	Arthrex	LEGAL_PREFIX_STRIPPED_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists 吉井整形外科内科中央病院 with ACP-PRP; unique Kagoshima match.
B09-09	神奈川県	東海大学医学部付属病院	CONFIRMED_NEW	APS	Zimmer Biomet	ADDRESS_EXACT	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://m.kansetsu-life.com/saisei/index.php	Zimmer Biomet locator lists 学校法人東海大学 東海大学医学部付属病院 with APS at 〒259-1193 神奈川県伊勢原市下糟屋143; facility identity is unambiguous.
B09-10	静岡県	医療法人社団オステオケア ないとう整形外科クリニック	CONFIRMED_NEW	ACP-PRP	Arthrex	LEGAL_PREFIX_STRIPPED_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists ないとう整形外科クリニック with ACP-PRP; unique Shizuoka match.
B09-11	千葉県	医療法人社団志高会 たてやま整形外科クリニック	CONFIRMED_NEW	ACP-PRP	Arthrex	LEGAL_PREFIX_STRIPPED_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists たてやま整形外科クリニック with ACP-PRP; upgrades batch07 unresolved status.
B09-12	神奈川県	横浜市立大学附属病院	HOLD_AMBIGUOUS	ACP-PRP	Arthrex	LOCATOR_TOO_BROAD	MANUFACTURER_LOCATOR_REVIEW	https://seikei-saisei.jp/institution.html	Arthrex locator label is only 横浜市立大学; current MHLW has affiliated hospital plans, but locator label is not specific enough to assign without stronger facility-level evidence.
