facility_id	prefecture	facility	core_source	status	product	manufacturer	evidence_type	evidence_url	note
B18-01	北海道	社会医療法人禎心会 札幌禎心会病院	NOT_IN_V40_OR_V41	OUTSIDE_LOCKED_CORE_REVIEW	APS	Zimmer Biomet	MANUFACTURER_LOCATOR_ONLY	https://m.kansetsu-life.com/saisei/index.php	Current Zimmer APS locator entry; absent from locked v40/v41 core inputs, so not counted.
B18-02	北海道	医療法人社団みつわ整形外科クリニック	v40:F0038	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 address 札幌市豊平区平岸3条6丁目6番30号 matches current Zimmer APS locator.
B18-03	宮城県	独立行政法人地域医療機能推進機構仙台病院	v40:F0144	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 address 仙台市泉区紫山2-1-1 matches current Zimmer APS locator.
B18-04	茨城県	国立大学法人 筑波大学附属病院	NOT_IN_V40_OR_V41	OUTSIDE_LOCKED_CORE_REVIEW	APS	Zimmer Biomet	MANUFACTURER_LOCATOR_ONLY	https://m.kansetsu-life.com/saisei/index.php	Current Zimmer APS locator entry; absent from locked core inputs.
B18-05	埼玉県	医療法人財団明理会 イムス富士見総合病院	NOT_IN_V40_OR_V41	OUTSIDE_LOCKED_CORE_REVIEW	APS	Zimmer Biomet	MANUFACTURER_LOCATOR_ONLY	https://m.kansetsu-life.com/saisei/index.php	Current Zimmer APS locator entry; absent from locked core inputs.
B18-06	埼玉県	かものみや整形外科	NOT_IN_V40_OR_V41	OUTSIDE_LOCKED_CORE_REVIEW	APS	Zimmer Biomet	MANUFACTURER_LOCATOR_ONLY	https://m.kansetsu-life.com/saisei/index.php	Current Zimmer APS locator entry; absent from locked core inputs.
B18-07	埼玉県	医療法人社団慶辰会 新越谷駅前えがわ整形外科クリニック	v40:F0092	ALREADY_CANONICAL	APS	Zimmer Biomet	CANONICAL_ALREADY_PRESENT	https://m.kansetsu-life.com/saisei/index.php	Already canonical for Zimmer Biomet.
B18-08	埼玉県	医療法人社団宏志会 豊岡第一病院	v40:F0089	ALREADY_CANONICAL	GPS	Zimmer Biomet	CANONICAL_ALREADY_PRESENT	https://m.kansetsu-life.com/saisei/index.php	Already canonical for Zimmer Biomet; locator PRP-only row does not change assignment.
B18-09	埼玉県	まつだ整形外科クリニック	NOT_IN_V40_OR_V41	OUTSIDE_LOCKED_CORE_REVIEW	APS	Zimmer Biomet	MANUFACTURER_LOCATOR_ONLY	https://m.kansetsu-life.com/saisei/index.php	Current Zimmer APS locator entry; absent from locked core inputs.
B18-10	千葉県	医療法人鉄蕉会 亀田総合病院	v40:F0070	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 address 鴨川市東町929 matches current Zimmer APS locator.
B18-11	千葉県	国際医療福祉大学市川総合病院	NOT_IN_V40_OR_V41	OUTSIDE_LOCKED_CORE_REVIEW	APS	Zimmer Biomet	MANUFACTURER_LOCATOR_ONLY	https://m.kansetsu-life.com/saisei/index.php	Current Zimmer APS locator entry; absent from locked core inputs.
B18-12	東京都	アットホーム表参道クリニック	v41:V41FB27CDCB6B4	CONFIRMED_NEW	APS	Zimmer Biomet	V41_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V41 address 港区北青山2-12-31 第3イノセビル2階及び地下1階 matches current Zimmer APS locator.
B18-13	東京都	医療法人社団潮友会 うしお病院	NOT_IN_V40_OR_V41	OUTSIDE_LOCKED_CORE_REVIEW	APS	Zimmer Biomet	MANUFACTURER_LOCATOR_ONLY	https://m.kansetsu-life.com/saisei/index.php	Current Zimmer APS locator entry; absent from locked core inputs.
B18-14	東京都	医療法人社団晴朗会 運動器クリニック 市ヶ谷	NOT_IN_V40_OR_V41	OUTSIDE_LOCKED_CORE_REVIEW	APS	Zimmer Biomet	MANUFACTURER_LOCATOR_ONLY	https://m.kansetsu-life.com/saisei/index.php	Current Zimmer APS locator entry; absent from locked core inputs.
B18-15	東京都	SBC整形外科クリニック西新宿本院	v40:F0214	ALREADY_CANONICAL	APS	Zimmer Biomet	CANONICAL_ALREADY_PRESENT	https://m.kansetsu-life.com/saisei/index.php	Already canonical for Zimmer Biomet and ESTAR Technologies.
B18-16	東京都	学校法人SBC東京医療大学附属 SBC整形外科クリニック新小岩院	NOT_IN_V40_OR_V41	OUTSIDE_LOCKED_CORE_REVIEW	APS	Zimmer Biomet	MANUFACTURER_LOCATOR_ONLY	https://m.kansetsu-life.com/saisei/index.php	Current Zimmer APS locator entry; absent from locked core inputs.
B18-17	東京都	医療法人社団MIG 金町慶友整形外科リウマチ科内科	NOT_IN_V40_OR_V41	OUTSIDE_LOCKED_CORE_REVIEW	APS	Zimmer Biomet	MANUFACTURER_LOCATOR_ONLY	https://m.kansetsu-life.com/saisei/index.php	Current Zimmer APS locator entry; absent from locked core inputs.
B18-18	東京都	狛江はく整形外科	NOT_IN_V40_OR_V41	OUTSIDE_LOCKED_CORE_REVIEW	APS	Zimmer Biomet	MANUFACTURER_LOCATOR_ONLY	https://m.kansetsu-life.com/saisei/index.php	Current Zimmer APS locator entry; absent from locked core inputs.
B18-19	東京都	医療法人社団SEISEN清泉クリニック整形外科 東京五反田	NOT_IN_V40_OR_V41	OUTSIDE_LOCKED_CORE_REVIEW	APS	Zimmer Biomet	MANUFACTURER_LOCATOR_ONLY	https://m.kansetsu-life.com/saisei/index.php	Current Zimmer APS locator entry; absent from locked core inputs.
B18-20	滋賀県	長浜赤十字病院	v41:V41F69E38B4AAB	CONFIRMED_NEW	APS	Zimmer Biomet	V41_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V41 address 長浜市宮前町14番7号 matches current Zimmer APS locator.
