facility_id	prefecture	facility	status	product	manufacturer	evidence_type	evidence_url	note
B46-01	神奈川県	横浜鶴ヶ峰病院付属予防医療クリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2206044/5/0	MHLW plan confirms PRP treatment, but no explicit kit/brand/manufacturer was established.
B46-02	長野県	社会医療法人栗山会飯田病院	CONFIRMED_NEW	APS	Zimmer Biomet	MHLW_EXPLICIT_MANUFACTURER	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2104001/5/0	Exact MHLW explanation explicitly states APS kit is manufactured by ZIMMER BIOMET.
B46-03	京都府	S clinic Kyoto	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2210008/5/0	MHLW plan confirms PRP treatment, but no explicit kit/brand/manufacturer was established.
B46-04	千葉県	柏の葉キャンパス整形外科	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2410007/5/0	MHLW plans confirm PRP treatment, but no explicit kit/brand/manufacturer was established.
B46-05	大阪府	医療法人いずみ会 阪堺病院	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2105004/5/0	MHLW plans confirm PRP treatment, but no explicit kit/brand/manufacturer was established.
B46-06	山梨県	独立行政法人地域医療機能推進機構 山梨病院	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2605091/5/0	MHLW plan confirms PRP treatment, but no explicit kit/brand/manufacturer was established.
B46-07	東京都	おかのクリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2205034/5/0	MHLW plans confirm PRP treatment, but no explicit kit/brand/manufacturer was established.
B46-08	東京都	医療法人社団心愛会 麻布台ビューティセルクリニック	HOLD_NO_BRAND	PRP|脂肪由来幹細胞		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2507026/5/0	MHLW plans confirm PRP/regenerative treatment, but no explicit PRP kit/brand/manufacturer was established.
B46-09	東京都	独立行政法人国立病院機構 東京医療センター	CONFIRMED_NEW	APS	Zimmer Biomet	MHLW_EXPLICIT_MANUFACTURER	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2603059/5/0	Exact MHLW explanation explicitly states APS kit is manufactured by ZIMMER BIOMET.
B46-10	神奈川県	医療法人博桜会 たなべ整形外科 せぼね・骨粗しょう症クリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2410057/5/0	MHLW plans confirm PRP treatment, but no explicit kit/brand/manufacturer was established.
