prefecture	facility	mhlw_plan_codes	manufacturer	source_operator	source_products	match_type	evidence_level	source_url	note
京都府	医療法人藍整会 なか整形外科 京都西院リハビリテーションクリニック	03E2603014|03E2603015	Zimmer Biomet	Zimmer Biomet	APS	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://m.kansetsu-life.com/saisei/index.php	Zimmer Biomet-operated facility locator explicitly lists APS therapy; APS Kit is a Zimmer Biomet Japan product.
京都府	医療法人財団康生会 たけだ膠原病リウマチクリニック	03E2507006|03E2507007|03E2507008	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
兵庫県	藤田整形外科 スポーツクリニック	01E2506023|01E2506024	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
千葉県	医療法人社団オルソプラス  むらた整形外科	01C2409051|01C2409052	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
千葉県	医療法人社団奏の杜整形外科	01C2102007	Arthrex	Arthrex	ACP-PRP	EXACT_LEGAL_STRIPPED	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
千葉県	医療法人社団奏の杜整形外科	01C2102007	Zimmer Biomet	Zimmer Biomet	APS	EXACT_LEGAL_STRIPPED	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://m.kansetsu-life.com/saisei/index.php	Zimmer Biomet-operated facility locator explicitly lists APS therapy; APS Kit is a Zimmer Biomet Japan product.
千葉県	医療法人社団明敬会 重城病院	03C2207033|03C2207034	Zimmer Biomet	Zimmer Biomet	APS	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://m.kansetsu-life.com/saisei/index.php	Zimmer Biomet-operated facility locator explicitly lists APS therapy; APS Kit is a Zimmer Biomet Japan product.
千葉県	柏の葉キャンパス整形外科	03C2410007|03C2410034	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
千葉県	順天堂大学医学部附属浦安病院	02C2109023|02C2109024	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
埼玉県	医療法人社団南越谷病院	01C2102010|01C2102011	Arthrex	Arthrex	ACP-PRP	EXACT_LEGAL_STRIPPED	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
大分県	仙波整形外科	01G2101005	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
大阪府	医療法人讃高会 枚方東整形外科病院	02E2507044|02E2507045	Zimmer Biomet	Zimmer Biomet	APS	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://m.kansetsu-life.com/saisei/index.php	Zimmer Biomet-operated facility locator explicitly lists APS therapy; APS Kit is a Zimmer Biomet Japan product.
山口県	医療法人社団 宇部興産中央病院	01F2206003|03F2208001	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
山梨県	東甲府医院	01C2411014	Zimmer Biomet	Zimmer Biomet	APS	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://m.kansetsu-life.com/saisei/index.php	Zimmer Biomet-operated facility locator explicitly lists APS therapy; APS Kit is a Zimmer Biomet Japan product.
岐阜県	公立学校共済組合 東海中央病院	03D2509003	Arthrex	Arthrex	ACP-PRP	EXACT_LEGAL_STRIPPED	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
岐阜県	森整形外科リハビリクリニック	01D2109002|01D2109003	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
岩手県	いわてスポーツ・整形外科クリニック	01B2403004	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
愛知県	ふくの森リハビリ整形外科	01D2404006	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
愛知県	リジェネレーションクリニック	01D2404004|01D2404005	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
愛知県	瀬戸にしな整形外科クリニック	01D2111003	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
愛知県	米田病院	03D2604004|03D2604005	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
東京都	おかのクリニック	01C2205034|01C2205035	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
