pilot_id	prefecture	facility	mhlw_plan_codes	treatment_classes	plan_count	baseline_maker_status
PILOT001	京都府	Clinique Haru Kyoto	01E2605018	PRP	1	UNKNOWN
PILOT002	佐賀県	医療法人仁栄会 さかえまち整形外科	01G2108005	PRP	1	UNKNOWN
PILOT003	兵庫県	たちはら整形外科・肩とスポーツのクリニック	01E2402021|01E2402024	PRP	2	UNKNOWN
PILOT004	北海道	札幌ひざのセルクリニック	01A2312003	PRP	1	UNKNOWN
PILOT005	千葉県	しろやまいたみのクリニック	01C2502010	PRP	1	UNKNOWN
PILOT006	和歌山県	医療法人琉憲会 ナカイマ整形外科クリニック	02E2407030	PRP	1	UNKNOWN
PILOT007	埼玉県	ミューズシティクリニック	01C2508068	PRP	1	UNKNOWN
PILOT008	大分県	医療法人恵愛会 中村病院	02G1911002	PRP	1	UNKNOWN
PILOT009	大阪府	CELL GRAND CLINIC	01E2502004	PRP	1	UNKNOWN
PILOT010	奈良県	医療法人ポイントワン ならやまと整形外科スポーツクリニック	01E2303002	PRP	1	UNKNOWN
PILOT011	宮崎県	くもん整形外科 スポーツ・骨関節クリニック	01G2404003	PRP	1	UNKNOWN
PILOT012	山口県	森山整形クリニック	01F2305003	PRP	1	UNKNOWN
PILOT013	岩手県	いわてスポーツ・整形外科クリニック	01B2403004	PRP	1	UNKNOWN
PILOT014	広島県	医療法人エム・エム会 マッターホルンリハビリテーション病院	03F2304004	PRP	1	UNKNOWN
PILOT015	愛知県	HIME CLINIC	01D2603004	PRP	1	UNKNOWN
PILOT016	東京都	NAG整形外科	01C2305018|01C2305019	PRP	2	UNKNOWN
PILOT017	栃木県	医療法人恭友会 はせがわ整形外科クリニック	02C2502053	PRP	1	UNKNOWN
PILOT018	沖縄県	医療法人形成会 当山美容形成外科	02G2001025	PRP	1	UNKNOWN
PILOT019	滋賀県	一般社団法人スピナレピオス 淡海せぼねクリニック	01E2408020|01E2408021	PRP	2	UNKNOWN
PILOT020	熊本県	熊本整形外科病院	02G2511005	PRP	1	UNKNOWN
PILOT021	石川県	特定医療法人社団勝木会 やわたメディカルセンター	01D2408001	PRP	1	UNKNOWN
PILOT022	神奈川県	SBC整形外科クリニック横浜駅前院	03C2604033	PRP	1	UNKNOWN
PILOT023	福岡県	とも整形外科スポーツクリニック	01G1906001|01G2001007	PRP	2	UNKNOWN
PILOT024	群馬県	医療法人山本整形外科医院	01C2206015	PRP	1	UNKNOWN
PILOT025	茨城県	すずらん整形＆ラボ	01C2407019	PRP	1	UNKNOWN
PILOT026	長崎県	チカラ整形外科スポーツリウマチクリニック	01G2311007	PRP	1	UNKNOWN
PILOT027	香川県	医療法人弘仁会 三条整形外科スポーツクリニック	03F2505004	PRP	1	UNKNOWN
PILOT028	鳥取県	医療法人YSOC 米子南整形外科クリニック	01F2604004	PRP	1	UNKNOWN
PILOT029	鹿児島県	医療法人 慈圭会 八反丸リハビリテーション病院	02G2405005	PRP	1	UNKNOWN
PILOT030	京都府	S clinic Kyoto	03E2210008	PRP	1	UNKNOWN
PILOT031	兵庫県	やす整形外科クリニック	03E2409010	PRP	1	UNKNOWN
PILOT032	千葉県	ジェフユナイテッド株式会社 診療所	02C2201001	PRP	1	UNKNOWN
PILOT033	埼玉県	医療法人 川久保病院	02C2001042	PRP	1	UNKNOWN
PILOT034	大分県	猿渡整形外科スポーツリハクリニック	01G2010001	PRP	1	UNKNOWN
PILOT035	大阪府	ONE CLINIC 梅田	01E2112013	PRP	1	UNKNOWN
PILOT036	奈良県	近畿大学奈良病院	01E2203003	PRP	1	UNKNOWN
PILOT037	宮崎県	整形外科 押領司病院	01G2301006	PRP	1	UNKNOWN
PILOT038	広島県	医療法人龍樹会 池田整形外科リハビリテーションクリニック	01F2310002	PRP	1	UNKNOWN
PILOT039	愛知県	医療法人紫雪会 えさき整形外科リウマチ科	01D1907003	PRP	1	UNKNOWN
PILOT040	東京都	いたばし整形外科関節クリニック	01C2605016	PRP	1	UNKNOWN
PILOT041	栃木県	医療法人親仁会 佐藤病院	01C2307023	PRP	1	UNKNOWN
PILOT042	沖縄県	社会医療法人友愛会友愛医療センター	02G2602005	PRP	1	UNKNOWN
PILOT043	滋賀県	公立甲賀病院	01E2307012	PRP	1	UNKNOWN
PILOT044	石川県	金沢泉が丘わたなべクリニック	03D2512001	PRP	1	UNKNOWN
PILOT045	神奈川県	のぼりと整形外科診療所	01C2310010	PRP	1	UNKNOWN
PILOT046	福岡県	ガーデンクリニック 福岡院	01G2105006	PRP	1	UNKNOWN
PILOT047	群馬県	医療法人秀躍会 もぎ整形外科クリニック	01C2207022|01C2207023	PRP	2	UNKNOWN
PILOT048	茨城県	医療法人ここの実会 嶋崎病院	03C2305020	PRP	1	UNKNOWN
PILOT049	香川県	香川県厚生農業協同組合連合会 屋島総合病院	03F2309003	PRP	1	UNKNOWN
PILOT050	鳥取県	鳥取大学医学部附属病院	03F2509001	PRP	1	UNKNOWN
