global_candidate_count	repo_facility_count	batch	batch_index	facility_key	prefecture	facility	mhlw_plan_codes	treatment_classes	source_generations	baseline_products	products_found	explicit_makers	validated_inferred_makers	unvalidated_products	final_makers	maker_evidence_type	safe_resolved	pdf_count	attempts	retry_403	context_resets_so_far	document_urls	http_statuses	evidence_json
366	812	0	1	三重県|社会医療法人峰和会鈴鹿回生病院	三重県	社会医療法人峰和会 鈴鹿回生病院	03D2506007	PRP	v40_queue							NONE	NO	1	3	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2506007/5/0	03D2506007:0:200|03D2506007:1:404|03D2506007:2:404	[]
366	812	0	2	千葉県|医療法人社団誠馨会千葉メディカルセンター	千葉県	医療法人社団誠馨会 千葉メディカルセンター	02C2506050|02C2506051	PRP	v41							NONE	NO	2	6	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2506050/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2506051/5/0	02C2506050:0:200|02C2506050:1:404|02C2506050:2:404|02C2506051:0:200|02C2506051:1:404|02C2506051:2:404	[]
366	812	0	3	大阪府|医療法人井上クリニック	大阪府	医療法人 井上クリニック	01E2104016	PRP	v40_queue							NONE	NO	1	3	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2104016/5/0	01E2104016:0:200|01E2104016:1:404|01E2104016:2:404	[]
366	812	0	4	山口県|森山整形クリニック	山口県	森山整形クリニック	01F2305001	PRP	v40_queue							NONE	NO	1	3	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2305001/5/0	01F2305001:0:200|01F2305001:1:404|01F2305001:2:404	[]
366	812	0	5	東京都|RiCarnaClinic	東京都	RiCarna Clinic	01C2502013	PRP	v40_queue							NONE	NO	1	3	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2502013/5/0	01C2502013:0:200|01C2502013:1:404|01C2502013:2:404	[]
366	812	0	6	東京都|医療法人社団平成会たいら整形外科クリニック	東京都	医療法人社団平成会 たいら整形外科クリニック	01C2210027	PRP	v40_queue							NONE	NO	1	3	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2210027/5/0	01C2210027:0:200|01C2210027:1:404|01C2210027:2:404	[]
366	812	0	7	東京都|江戸川区まつもと整形外科	東京都	江戸川区まつもと整形外科	01C2603069|01C2603071	PRP	v41							NONE	NO	2	6	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2603069/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2603071/5/0	01C2603069:0:200|01C2603069:1:404|01C2603069:2:404|01C2603071:0:200|01C2603071:1:404|01C2603071:2:404	[]
366	812	0	8	神奈川県|医療法人健進会井上整形外科	神奈川県	医療法人 健進会 井上整形外科	01C2305022|01C2305023	PRP	v41	PRP						NONE	NO	2	6	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2305022/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2305023/5/0	01C2305022:0:200|01C2305022:1:404|01C2305022:2:404|01C2305023:0:200|01C2305023:1:404|01C2305023:2:404	[]
366	812	0	9	福岡県|医療法人一寿会西尾病院	福岡県	医療法人一寿会西尾病院	01G2011006	PRP	v41							NONE	NO	1	3	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/01G2011006/5/0	01G2011006:0:200|01G2011006:1:404|01G2011006:2:404	[]
366	812	0	10	高知県|細木病院	高知県	細木病院	03F2207001|03F2207002	PRP	v40_queue							NONE	NO	2	6	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/03F2207001/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/03F2207002/5/0	03F2207001:0:200|03F2207001:1:404|03F2207001:2:404|03F2207002:0:200|03F2207002:1:404|03F2207002:2:404	[]
