facility_key	prefecture	facility	mhlw_plan_codes	official_products	official_explicit_makers	manufacturer_share_groups	legal_manufacturers	japan_mah_or_suppliers	evidence_type	safe_resolved	product_resolved	evidence_json
三重県|社会医療法人峰和会鈴鹿回生病院	三重県	社会医療法人峰和会 鈴鹿回生病院	03D2506007						NONE	NO	NO	[]
京都府|SclinicKyoto	京都府	S clinic Kyoto	03E2210008						NONE	NO	NO	[]
京都府|医療法人いちまる整形外科クリニック	京都府	医療法人いちまる整形外科クリニック	01E2307003|01E2307004						NONE	NO	NO	[]
京都府|医療法人社団蒼樹会山本整形外科	京都府	医療法人社団蒼樹会 山本整形外科	01E2403019						NONE	NO	NO	[]
京都府|医療法人社団貴順会吉川病院	京都府	医療法人社団貴順会吉川病院	02E2306012|02E2307009|02E2312001						NONE	NO	NO	[]
京都府|医療法人藍整会なか整形外科京都西院リハビリテーションクリニック	京都府	医療法人藍整会 なか整形外科 京都西院リハビリテーションクリニック	03E2603014|03E2603015						NONE	NO	NO	[]
京都府|医療法人財団康生会たけだ膠原病リウマチクリニック	京都府	医療法人財団康生会 たけだ膠原病リウマチクリニック	03E2507006|03E2507007|03E2507008						NONE	NO	NO	[]
佐賀県|医療法人仁栄会さかえまち整形外科	佐賀県	医療法人仁栄会 さかえまち整形外科	01G2108005						NONE	NO	NO	[]
兵庫県|あまのペインクリニック	兵庫県	あまのペインクリニック	01E2110005						NONE	NO	NO	[]
兵庫県|かみはらペインクリニック	兵庫県	かみはらペインクリニック	01E2412007						NONE	NO	NO	[]
兵庫県|たちはら整形外科・肩とスポーツのクリニック	兵庫県	たちはら整形外科・肩とスポーツのクリニック	01E2402021|01E2402024						NONE	NO	NO	[]
兵庫県|三輪整形外科クリニック	兵庫県	三輪整形外科クリニック	01E2101022|01E2212025	ACP		Arthrex	Arthrex	Arthrex Japan	VALIDATED_PRODUCT_MAP_OFFICIAL	YES	YES	"[{""url"": ""https://miwa-seikeigeka.clinic/self-paymedicaltreatment"", ""title"": ""自費診療 ｜ 垂水区舞多聞西のかかりつけ整形外科クリニック – 三輪整形外科クリニック"", ""products"": [""ACP""], ""makers"": [], ""product_context"": {""ACP"": [""めします。 治療にかかる費用は疾患によって異なります。 関節外PRP注射：40000円 （第3種） 野球肘・テニス肘・ゴルフ肘・アキレス腱炎 足底腱膜炎・肉離れ など 関節内PRP注射：80000円（第2種） 変形性膝関節症・肩腱板損傷・TFCC損傷 など 1日で診断からPRP療法まで終了希望の場合、 診断・検査・同意書作成を10000円で行います。 当院のACP-PRPは約30～40億個の血小板の成長因子を治療に利用します。 近年の研究により、60億個以上の血小板の成長因子を注射することで治療成績に優位差がでてきております。 このため、2回のPRP注射を推奨しております。 2回目の注射は1回目の注射後約6ヶ月後が目安となります。 （2回目は40000円でご提供させていただきます。） また、改良されたPRP療法として""]}, ""maker_context"": {}}]"
