plan_id	mhlw_plan_code	prefecture	facility	category	treatment_class	price_status	amount	amount_min	amount_max	tax	unit	product	maker	plan_evidence_url	price_source	merge_status
V41_02C2601007	02C2601007	東京都	医療法人社団裕健会 神田クリニック	第二種	脂肪由来幹細胞	価格確定	1540000			税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601007/5/0	AUTO	READY
V41_02C2601007	02C2601007	東京都	医療法人社団裕健会 神田クリニック	第二種	脂肪由来幹細胞	価格確定	2090000			税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601007/5/0	AUTO	READY
V41_02C2601007	02C2601007	東京都	医療法人社団裕健会 神田クリニック	第二種	脂肪由来幹細胞	価格確定	2640000			税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601007/5/0	AUTO	READY
V41_02C2407061	02C2407061	東京都	医療法人社団裕健会 神田駅東口クリニック	第二種	脂肪由来幹細胞	価格確定	1100000			税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2407061/5/0	AUTO	READY
V41_02C2407061	02C2407061	東京都	医療法人社団裕健会 神田駅東口クリニック	第二種	脂肪由来幹細胞	価格確定	1540000			税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2407061/5/0	AUTO	READY
V41_02C2407061	02C2407061	東京都	医療法人社団裕健会 神田駅東口クリニック	第二種	脂肪由来幹細胞	価格確定	2090000			税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2407061/5/0	AUTO	READY
V41_02C2407061	02C2407061	東京都	医療法人社団裕健会 神田駅東口クリニック	第二種	脂肪由来幹細胞	価格確定	2640000			税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2407061/5/0	AUTO	READY
V41_02C2509032	02C2509032	東京都	医療法人社団誠心会  Re:Born Clinic 銀座院	第二種	脂肪由来幹細胞	価格確定	2200000			税込	1回	脂肪由来幹細胞		https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2509032/5/0	AUTO	READY
V41_02C2509040	02C2509040	東京都	医療法人社団誠心会  Re:Born Clinic 銀座院	第二種	PRP	価格確定	275000			税込	1回	PRP		https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2509040/5/0	AUTO	READY
V41_02C2509048	02C2509048	東京都	医療法人社団誠心会  Re:Born Clinic 銀座院	第二種	脂肪由来幹細胞	価格確定	2508000			税込	5,000万個まで・1回	脂肪由来幹細胞		https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2509048/5/0	AUTO	READY
