mhlw_plan_code	facility	amount	tax	unit	label	evidence_url	note	price_source	merge_status
01E2605017	Clinique Haru Kyoto	2200000	税込	初回	施術費用	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605017/5/0	Exact-plan MHLW document, fee section.	MHLW_EXACT_PLAN_RECOVERY	READY
01E2605017	Clinique Haru Kyoto	1650000	税込	2回目以降	施術費用	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605017/5/0	Exact-plan MHLW document, fee section.	MHLW_EXACT_PLAN_RECOVERY	READY
01E2602008	「夢」整形外科スポーツクリニック	789000	税込	1回・幹細胞1億個	幹細胞治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2602008/5/0	Includes sampling/local anesthesia/culture/storage/intra-articular administration etc.	MHLW_EXACT_PLAN_RECOVERY	READY
01E2511014	社会医療法人黎明会 和歌山 健診クリニック・キタデ	1300000	税抜	今回の治療	自己脂肪由来間葉系幹細胞を用いた変形性関節症治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2511014/5/0	Exact-plan MHLW document screenshot shows 130万円（税抜）.	MHLW_EXACT_PLAN_RECOVERY	READY
01E2511020	社会医療法人黎明会 和歌山 健診クリニック・キタデ	1300000	税抜	今回の治療	自己脂肪由来間葉系幹細胞を用いた靭帯・腱損傷治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2511020/5/0	Exact-plan MHLW document screenshot shows 130万円（税抜）.	MHLW_EXACT_PLAN_RECOVERY	READY
02C2408121	医療法人社団nagomi会 健康スポーツクリニック	1075000	税込	初回・1関節	自家ASC	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2408121/5/0	Exact-plan MHLW fee table.	MHLW_EXACT_PLAN_RECOVERY	READY
02C2408121	医療法人社団nagomi会 健康スポーツクリニック	1300000	税込	初回・2関節	自家ASC	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2408121/5/0	Exact-plan MHLW fee table.	MHLW_EXACT_PLAN_RECOVERY	READY
02C2408121	医療法人社団nagomi会 健康スポーツクリニック	321000	税込	2回目・1関節	自家ASC	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2408121/5/0	Exact-plan MHLW fee table.	MHLW_EXACT_PLAN_RECOVERY	READY
01E2509011	AC PLUS CLINIC	3300000	税込	1回	自家ASC治療（関節内投与）	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2509011/5/0	Initial consultation and infection testing are ancillary and excluded.	MHLW_EXACT_PLAN_RECOVERY	READY
01E2510027	AC PLUS CLINIC	3300000	税込	1回	自家ASC治療（慢性筋骨格系疼痛・静脈内投与）	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2510027/5/0	Initial consultation and infection testing are ancillary and excluded.	MHLW_EXACT_PLAN_RECOVERY	READY
02E2407022	医療法人桜希会 東朋八尾健診クリニック	1100000	税込	片側・約5000万個	幹細胞治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407022/5/0	Exact-plan MHLW fee table; storage fee is included/free and not emitted as treatment price.	MHLW_EXACT_PLAN_RECOVERY	READY
02E2407022	医療法人桜希会 東朋八尾健診クリニック	1540000	税込	片側・約1億個	幹細胞治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407022/5/0	Exact-plan MHLW fee table; storage fee is included/free and not emitted as treatment price.	MHLW_EXACT_PLAN_RECOVERY	READY
02E2407022	医療法人桜希会 東朋八尾健診クリニック	2090000	税込	片側・約1億5000万個	幹細胞治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407022/5/0	Exact-plan MHLW fee table; storage fee is included/free and not emitted as treatment price.	MHLW_EXACT_PLAN_RECOVERY	READY
02E2407022	医療法人桜希会 東朋八尾健診クリニック	2640000	税込	片側・約2億個	幹細胞治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407022/5/0	Exact-plan MHLW fee table; storage fee is included/free and not emitted as treatment price.	MHLW_EXACT_PLAN_RECOVERY	READY
02E2407022	医療法人桜希会 東朋八尾健診クリニック	1760000	税込	両側・約5000万個×2	幹細胞治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407022/5/0	Exact-plan MHLW fee table; storage fee is included/free and not emitted as treatment price.	MHLW_EXACT_PLAN_RECOVERY	READY
02E2407022	医療法人桜希会 東朋八尾健診クリニック	2860000	税込	両側・約1億個×2	幹細胞治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407022/5/0	Exact-plan MHLW fee table; storage fee is included/free and not emitted as treatment price.	MHLW_EXACT_PLAN_RECOVERY	READY
02E2407022	医療法人桜希会 東朋八尾健診クリニック	3410000	税込	両側・約1億5000万個×2	幹細胞治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407022/5/0	Exact-plan MHLW fee table; storage fee is included/free and not emitted as treatment price.	MHLW_EXACT_PLAN_RECOVERY	READY
02E2407022	医療法人桜希会 東朋八尾健診クリニック	3960000	税込	両側・約2億個×2	幹細胞治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407022/5/0	Exact-plan MHLW fee table; storage fee is included/free and not emitted as treatment price.	MHLW_EXACT_PLAN_RECOVERY	READY
