mhlw_plan_code	facility	amount	tax	unit	label	price_type	ranking_eligible	evidence_url	evidence_level	note	price_source	merge_status
01C2402046	医療法人社団紘朗会 麻布皮フ科クリニック	1350000	税込	片側・0.5億個	細胞移植費用	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2402046/5/0	MHLW_EXACT_PLAN	脂肪採取費150,000/300,000円と保管費は構成・付随費用としてランキング対象外。	MHLW_EXACT_PLAN_RECOVERY	READY
01C2402046	医療法人社団紘朗会 麻布皮フ科クリニック	2700000	税込	両側・0.5億個ずつ	細胞移植費用	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2402046/5/0	MHLW_EXACT_PLAN	脂肪採取費150,000/300,000円と保管費は構成・付随費用としてランキング対象外。	MHLW_EXACT_PLAN_RECOVERY	READY
01C2602040	新橋DAYクリニック	15000	税別		相談・初診料	component	false	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602040/5/0	MHLW_EXACT_PLAN	別紙治療費は構成費の組合せ。総額を推算せず、そのまま構造化してランキング除外。	MHLW_EXACT_PLAN_RECOVERY	REVIEW_COMPLEX_COMPONENTS
01C2602040	新橋DAYクリニック	35000	税別		検査費用等	component	false	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602040/5/0	MHLW_EXACT_PLAN	別紙治療費は構成費の組合せ。総額を推算せず、そのまま構造化してランキング除外。	MHLW_EXACT_PLAN_RECOVERY	REVIEW_COMPLEX_COMPONENTS
01C2602040	新橋DAYクリニック	150000	税別		脂肪採取費用	component	false	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602040/5/0	MHLW_EXACT_PLAN	別紙治療費は構成費の組合せ。総額を推算せず、そのまま構造化してランキング除外。	MHLW_EXACT_PLAN_RECOVERY	REVIEW_COMPLEX_COMPONENTS
01C2602040	新橋DAYクリニック	1700000	税別	1億個	培養費用	component	false	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602040/5/0	MHLW_EXACT_PLAN	別紙治療費は構成費の組合せ。総額を推算せず、そのまま構造化してランキング除外。	MHLW_EXACT_PLAN_RECOVERY	REVIEW_COMPLEX_COMPONENTS
01C2602040	新橋DAYクリニック	2200000	税別	2億個	培養費用	component	false	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602040/5/0	MHLW_EXACT_PLAN	別紙治療費は構成費の組合せ。総額を推算せず、そのまま構造化してランキング除外。	MHLW_EXACT_PLAN_RECOVERY	REVIEW_COMPLEX_COMPONENTS
01C2602040	新橋DAYクリニック	250000	税別	1か所	関節局所投与手技料・治療管理料	component	false	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602040/5/0	MHLW_EXACT_PLAN	別紙治療費は構成費の組合せ。総額を推算せず、そのまま構造化してランキング除外。	MHLW_EXACT_PLAN_RECOVERY	REVIEW_COMPLEX_COMPONENTS
01C2602040	新橋DAYクリニック	500000	税別	複数	関節局所投与手技料・治療管理料	component	false	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602040/5/0	MHLW_EXACT_PLAN	別紙治療費は構成費の組合せ。総額を推算せず、そのまま構造化してランキング除外。	MHLW_EXACT_PLAN_RECOVERY	REVIEW_COMPLEX_COMPONENTS
01C2203013	日本大学医学部附属板橋病院	40000	税別	1回	PRP治療費用	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2203013/5/0	MHLW_EXACT_PLAN_INDEXED	厚労省公開PDFの検索インデックスで40,000円および税別表記を確認。学生価格35,000円は通常価格ランキングから除外。	MHLW_EXACT_PLAN_RECOVERY	READY
