mhlw_plan_code	facility	amount	tax	unit	label	price_type	ranking_eligible	evidence_url	evidence_level	note	price_source	merge_status	recovery_batch
01E2605017	Clinique Haru Kyoto	2200000	税込	初回	施術費用	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605017/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW document, fee section.	MHLW_EXACT_PLAN_RECOVERY	READY	1
01E2605017	Clinique Haru Kyoto	1650000	税込	2回目以降	施術費用	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605017/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW document, fee section.	MHLW_EXACT_PLAN_RECOVERY	READY	1
01E2602008	「夢」整形外科スポーツクリニック	789000	税込	1回・幹細胞1億個	幹細胞治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2602008/5/0	MHLW_EXACT_PLAN	Includes sampling/local anesthesia/culture/storage/intra-articular administration etc.	MHLW_EXACT_PLAN_RECOVERY	READY	1
01E2511014	社会医療法人黎明会 和歌山 健診クリニック・キタデ	1300000	税抜	今回の治療	自己脂肪由来間葉系幹細胞を用いた変形性関節症治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2511014/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW document screenshot shows 130万円（税抜）.	MHLW_EXACT_PLAN_RECOVERY	READY	1
01E2511020	社会医療法人黎明会 和歌山 健診クリニック・キタデ	1300000	税抜	今回の治療	自己脂肪由来間葉系幹細胞を用いた靭帯・腱損傷治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2511020/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW document screenshot shows 130万円（税抜）.	MHLW_EXACT_PLAN_RECOVERY	READY	1
02C2408121	医療法人社団nagomi会 健康スポーツクリニック	1075000	税込	初回・1関節	自家ASC	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2408121/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW fee table.	MHLW_EXACT_PLAN_RECOVERY	READY	1
02C2408121	医療法人社団nagomi会 健康スポーツクリニック	1300000	税込	初回・2関節	自家ASC	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2408121/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW fee table.	MHLW_EXACT_PLAN_RECOVERY	READY	1
02C2408121	医療法人社団nagomi会 健康スポーツクリニック	321000	税込	2回目・1関節	自家ASC	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2408121/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW fee table.	MHLW_EXACT_PLAN_RECOVERY	READY	1
01E2509011	AC PLUS CLINIC	3300000	税込	1回	自家ASC治療（関節内投与）	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2509011/5/0	MHLW_EXACT_PLAN	Initial consultation and infection testing are ancillary and excluded.	MHLW_EXACT_PLAN_RECOVERY	READY	1
01E2510027	AC PLUS CLINIC	3300000	税込	1回	自家ASC治療（慢性筋骨格系疼痛・静脈内投与）	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2510027/5/0	MHLW_EXACT_PLAN	Initial consultation and infection testing are ancillary and excluded.	MHLW_EXACT_PLAN_RECOVERY	READY	1
02E2407022	医療法人桜希会 東朋八尾健診クリニック	1100000	税込	片側・約5000万個	幹細胞治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407022/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW fee table; storage fee is included/free and not emitted as treatment price.	MHLW_EXACT_PLAN_RECOVERY	READY	1
02E2407022	医療法人桜希会 東朋八尾健診クリニック	1540000	税込	片側・約1億個	幹細胞治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407022/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW fee table; storage fee is included/free and not emitted as treatment price.	MHLW_EXACT_PLAN_RECOVERY	READY	1
02E2407022	医療法人桜希会 東朋八尾健診クリニック	2090000	税込	片側・約1億5000万個	幹細胞治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407022/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW fee table; storage fee is included/free and not emitted as treatment price.	MHLW_EXACT_PLAN_RECOVERY	READY	1
02E2407022	医療法人桜希会 東朋八尾健診クリニック	2640000	税込	片側・約2億個	幹細胞治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407022/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW fee table; storage fee is included/free and not emitted as treatment price.	MHLW_EXACT_PLAN_RECOVERY	READY	1
02E2407022	医療法人桜希会 東朋八尾健診クリニック	1760000	税込	両側・約5000万個×2	幹細胞治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407022/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW fee table; storage fee is included/free and not emitted as treatment price.	MHLW_EXACT_PLAN_RECOVERY	READY	1
02E2407022	医療法人桜希会 東朋八尾健診クリニック	2860000	税込	両側・約1億個×2	幹細胞治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407022/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW fee table; storage fee is included/free and not emitted as treatment price.	MHLW_EXACT_PLAN_RECOVERY	READY	1
02E2407022	医療法人桜希会 東朋八尾健診クリニック	3410000	税込	両側・約1億5000万個×2	幹細胞治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407022/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW fee table; storage fee is included/free and not emitted as treatment price.	MHLW_EXACT_PLAN_RECOVERY	READY	1
02E2407022	医療法人桜希会 東朋八尾健診クリニック	3960000	税込	両側・約2億個×2	幹細胞治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407022/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW fee table; storage fee is included/free and not emitted as treatment price.	MHLW_EXACT_PLAN_RECOVERY	READY	1
01C2511020	THE HUNDRED	3300000	税込	1回	自己脂肪由来間葉系幹細胞を用いた腰痛治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2511020/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW document; cancellation-related fees excluded.	MHLW_EXACT_PLAN_RECOVERY	READY	2
02C2503061	一般社団法人日本オーラルヘルス協会 ミライズクリニック南青山	1290000	税込	初回・1関節	自家ASC関節治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2503061/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW fee table; long-term storage fee excluded.	MHLW_EXACT_PLAN_RECOVERY	READY	2
02C2503061	一般社団法人日本オーラルヘルス協会 ミライズクリニック南青山	1690000	税込	初回・2関節	自家ASC関節治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2503061/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW fee table; long-term storage fee excluded.	MHLW_EXACT_PLAN_RECOVERY	READY	2
02C2503061	一般社団法人日本オーラルヘルス協会 ミライズクリニック南青山	498000	税込	2回目以降・1関節	自家ASC関節治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2503061/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW fee table; long-term storage fee excluded.	MHLW_EXACT_PLAN_RECOVERY	READY	2
01C2601047	一般社団法人ＲＫミライ Rejoint Clinic Dr.K	1500000	税抜	今回の治療	自己脂肪由来間葉系幹細胞を用いた変形性関節症治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2601047/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW document.	MHLW_EXACT_PLAN_RECOVERY	READY	2
03C2606023	医療法人優美会 クリニック 渋谷	1100000	税抜	今回の治療	自己脂肪由来間葉系幹細胞を用いた靭帯・腱損傷治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2606023/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW document.	MHLW_EXACT_PLAN_RECOVERY	READY	2
02C2608035	医療法人社団 熊谷整形外科	5500000	税込	初回投与	ヒト自己脂肪組織由来間葉系幹細胞を用いた慢性疼痛緩和治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2608035/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW fee sheet; consultation, testing and frozen-storage fees excluded.	MHLW_EXACT_PLAN_RECOVERY	READY	2
02C2608035	医療法人社団 熊谷整形外科	4400000	税込	2回目以降投与	ヒト自己脂肪組織由来間葉系幹細胞を用いた慢性疼痛緩和治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2608035/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW fee sheet; consultation, testing and frozen-storage fees excluded.	MHLW_EXACT_PLAN_RECOVERY	READY	2
03C2305005	医療法人社団小﨑会 常盤台らいおん整形外科	132000	税込	1治療（採血＋投与2回分）	多血小板血漿（PRP）を用いた筋・腱・靭帯治療	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2305005/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW document.	MHLW_EXACT_PLAN_RECOVERY	READY	2
02C2406003	医療法人社団松和会 池上総合病院	4400000	税込	治療総額	膝関節軟骨損傷に対する自己軟骨細胞シート移植	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2406003/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW document; component breakdown and cancellation-stage liabilities are not emitted separately.	MHLW_EXACT_PLAN_RECOVERY	READY	2
01C2503047	医療法人社団紘朗会 麻布皮フ科クリニック	1350000	税込	片側・0.5億個	細胞移植費用	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503047/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW document; separate fat-harvesting component (150,000/300,000) and storage fees excluded from treatment-price rows.	MHLW_EXACT_PLAN_RECOVERY	READY	2
01C2503047	医療法人社団紘朗会 麻布皮フ科クリニック	2700000	税込	両側・0.5億個ずつ	細胞移植費用	treatment	true	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503047/5/0	MHLW_EXACT_PLAN	Exact-plan MHLW document; separate fat-harvesting component (150,000/300,000) and storage fees excluded from treatment-price rows.	MHLW_EXACT_PLAN_RECOVERY	READY	2
