lane	queue_index	plan_id	mhlw_plan_code	facility_id	prefecture	facility	category	treatment_class	status	amount	tax	unit	products	makers	document_url	ranking_eligible	merge_status	qc_reason
A	1	P00775	03D2506007	F0525	三重県	社会医療法人峰和会 鈴鹿回生病院	第三種	PRP	QC						https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2506007/5/0	false	REVIEW_QC_NO_PRICE	no price found after text/OCR pass
A	2	P00751	01D2506002	F0468	岐阜県	Radiant Clinic	第三種	PRP	AUTO	60000	税別	1部位	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2506002/5/0	true	READY_AUTO	line-level medium price context
A	2	P00751	01D2506002	F0468	岐阜県	Radiant Clinic	第三種	PRP	AUTO	100000	不明	1部位	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2506002/5/0	true	READY_AUTO	line-level medium price context
A	2	P00751	01D2506002	F0468	岐阜県	Radiant Clinic	第三種	PRP	AUTO	130000	不明	1部位	ACP MAX|ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2506002/5/0	true	READY_AUTO	line-level medium price context
A	2	P00751	01D2506002	F0468	岐阜県	Radiant Clinic	第三種	PRP	AUTO	180000	不明	1部位	ACP MAX|ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2506002/5/0	true	READY_AUTO	line-level medium price context
A	3	P00665	01D2506001	F0468	岐阜県	Radiant Clinic	第二種	PRP	AUTO	60000	税別	1部位	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2506001/5/0	true	READY_AUTO	line-level medium price context
A	3	P00665	01D2506001	F0468	岐阜県	Radiant Clinic	第二種	PRP	AUTO	100000	不明	1部位	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2506001/5/0	true	READY_AUTO	line-level medium price context
A	3	P00665	01D2506001	F0468	岐阜県	Radiant Clinic	第二種	PRP	AUTO	130000	不明	1部位	ACP MAX|ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2506001/5/0	true	READY_AUTO	line-level medium price context
A	3	P00665	01D2506001	F0468	岐阜県	Radiant Clinic	第二種	PRP	AUTO	180000	不明	1部位	ACP MAX|ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2506001/5/0	true	READY_AUTO	line-level medium price context
A	4	P00752	03D2509003	F0469	岐阜県	公立学校共済組合 東海中央病院	第三種	PRP	AUTO	77000	税込	2 回分			https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2509003/5/0	true	READY_AUTO	
A	4	P00752	03D2509003	F0469	岐阜県	公立学校共済組合 東海中央病院	第三種	PRP	AUTO	132000	税込	2 回分			https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2509003/5/0	true	READY_AUTO	
A	5	P00668	01D2006004	F0470	岐阜県	医療法人ごとう整形外科	第二種	脂肪由来MSC	AUTO	1500000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2006004/5/0	true	READY_AUTO	line-level strong price context
A	6	P00669	01D2605005	F0471	岐阜県	医療法人社団豊正会 大垣中央病院	第二種	PRP	AUTO	70000	税込	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2605005/5/0	true	READY_AUTO	
A	7	P00670	01D2311005	F0472	岐阜県	多治見スマートクリニック	第二種	PRP	QC	12000	税別	2回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2311005/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	7	P00670	01D2311005	F0472	岐阜県	多治見スマートクリニック	第二種	PRP	QC	24000	税別	4回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2311005/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	7	P00670	01D2311005	F0472	岐阜県	多治見スマートクリニック	第二種	PRP	QC	24000	税別	4回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2311005/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	7	P00670	01D2311005	F0472	岐阜県	多治見スマートクリニック	第二種	PRP	QC	48000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2311005/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	7	P00670	01D2311005	F0472	岐阜県	多治見スマートクリニック	第二種	PRP	QC	136800	税別	2回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2311005/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	7	P00670	01D2311005	F0472	岐阜県	多治見スマートクリニック	第二種	PRP	QC	273600	税別	4回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2311005/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	7	P00670	01D2311005	F0472	岐阜県	多治見スマートクリニック	第二種	PRP	QC	273600	税別	4回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2311005/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	7	P00670	01D2311005	F0472	岐阜県	多治見スマートクリニック	第二種	PRP	QC	547200	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2311005/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	7	P00670	01D2311005	F0472	岐阜県	多治見スマートクリニック	第二種	PRP	QC	11960	不明	2回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2311005/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	7	P00670	01D2311005	F0472	岐阜県	多治見スマートクリニック	第二種	PRP	QC	136340	不明	2回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2311005/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	7	P00670	01D2311005	F0472	岐阜県	多治見スマートクリニック	第二種	PRP	QC	5980	税別	2回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2311005/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	7	P00670	01D2311005	F0472	岐阜県	多治見スマートクリニック	第二種	PRP	QC	68170	税別	2回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2311005/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	8	P00753	01D2109003	F0473	岐阜県	森整形外科リハビリクリニック	第三種	PRP	AUTO	38000	税込	2 回分			https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2109003/5/0	true	READY_AUTO	
A	9	P00671	01D2109002	F0473	岐阜県	森整形外科リハビリクリニック	第二種	PRP	AUTO	38000	税込	2 回分			https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2109002/5/0	true	READY_AUTO	
A	10	P00754	01D2412005	F0474	岐阜県	美濃整形外科	第三種	PRP	AUTO	40000	税込		ACP|APS|GPS	Arthrex|Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2412005/5/0	true	READY_AUTO	
A	10	P00754	01D2412005	F0474	岐阜県	美濃整形外科	第三種	PRP	AUTO	120000	税込		ACP|APS|GPS	Arthrex|Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2412005/5/0	true	READY_AUTO	
A	10	P00754	01D2412005	F0474	岐阜県	美濃整形外科	第三種	PRP	AUTO	300000	税込		ACP|APS|GPS	Arthrex|Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2412005/5/0	true	READY_AUTO	
A	11	P00672	01D2412004	F0474	岐阜県	美濃整形外科	第二種	PRP	AUTO	40000	税込		ACP|APS|GPS	Arthrex|Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2412004/5/0	true	READY_AUTO	
A	11	P00672	01D2412004	F0474	岐阜県	美濃整形外科	第二種	PRP	AUTO	120000	税込		ACP|APS|GPS	Arthrex|Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2412004/5/0	true	READY_AUTO	
A	11	P00672	01D2412004	F0474	岐阜県	美濃整形外科	第二種	PRP	AUTO	300000	税込		ACP|APS|GPS	Arthrex|Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2412004/5/0	true	READY_AUTO	
A	12	P00693	02D2607006	F0494	愛知県	Dr.Forceクリニック名古屋伏見院	第二種	脂肪由来幹細胞	QC						https://saiseiiryo.mhlw.go.jp/published_plan/download/02D2607006/5/0	false	REVIEW_QC_NO_PRICE	no price found after text/OCR pass
A	13	P00694	02D1912027	F0495	愛知県	NexWelクリニック大名古屋ビル皮膚科	第二種	脂肪由来幹細胞	QC	10000	不明	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02D1912027/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	14	P00695	03D2606001	F0496	愛知県	あいせい紀年病院	第二種	PRP	AUTO	55000	税込	2 回分			https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2606001/5/0	true	READY_AUTO	
A	15	P00696	01D2205007	F0497	愛知県	おかざき足の血管外科・痛みのクリニック	第二種	PRP	AUTO	53900	税込	2 回分			https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2205007/5/0	true	READY_AUTO	
A	16	P00766	01D2211014	F0498	愛知県	ふくだ整形外科骨粗しょう症スポーツクリニック	第三種	PRP	QC						https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2211014/5/0	false	REVIEW_QC_NO_PRICE	no price found after text/OCR pass
A	17	P00697	01D2211013	F0498	愛知県	ふくだ整形外科骨粗しょう症スポーツクリニック	第二種	PRP	AUTO	33000	税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2211013/5/0	true	READY_AUTO	line-level medium price context
