lane	queue_index	plan_id	mhlw_plan_code	facility_id	prefecture	facility	category	treatment_class	status	amount	tax	unit	products	makers	document_url	ranking_eligible	merge_status	qc_reason
B	201	P00463	01E2407023	F0076	和歌山県	医療法人須佐病院	第二種	脂肪由来幹細胞	QC	110000	不明	3 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2407023/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	201	P00463	01E2407023	F0076	和歌山県	医療法人須佐病院	第二種	脂肪由来幹細胞	QC	3300	税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2407023/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	201	P00463	01E2407023	F0076	和歌山県	医療法人須佐病院	第二種	脂肪由来幹細胞	QC	14300	不明	1部位			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2407023/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	201	P00463	01E2407023	F0076	和歌山県	医療法人須佐病院	第二種	脂肪由来幹細胞	QC	1650000	不明	1部位			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2407023/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	201	P00463	01E2407023	F0076	和歌山県	医療法人須佐病院	第二種	脂肪由来幹細胞	QC	1650000	不明	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2407023/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	201	P00463	01E2407023	F0076	和歌山県	医療法人須佐病院	第二種	脂肪由来幹細胞	QC	2200000	不明	1部位			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2407023/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	202	P00464	01E2407024	F0076	和歌山県	医療法人須佐病院	第二種	骨髄濃縮液	QC	3300	税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2407024/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	202	P00464	01E2407024	F0076	和歌山県	医療法人須佐病院	第二種	骨髄濃縮液	QC	14300	不明	1部位			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2407024/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	202	P00464	01E2407024	F0076	和歌山県	医療法人須佐病院	第二種	骨髄濃縮液	QC	1650000	不明	1部位			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2407024/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
B	203	P00466	03E2603009	F0074	和歌山県	海南医療センター	第三種	PRP	AUTO	100000	税別		GPS|Zimmer	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2603009/5/0	true	READY_AUTO	
B	204	P00465	03E2603008	F0074	和歌山県	海南医療センター	第二種	PRP	AUTO	100000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2603008/5/0	true	READY_AUTO	
B	204	P00465	03E2603008	F0074	和歌山県	海南医療センター	第二種	PRP	AUTO	270000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2603008/5/0	true	READY_AUTO	
B	205	P00416	03E2603013	F0108	大阪府	医療法人協和会 協和会病院	第三種	PRP	AUTO	200000	不明		APS|GPS|Zimmer	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2603013/5/0	true	READY_AUTO	
